Code SIPeC,Etiquette SIPeC,Code Holland - 1,Code Holland - 2,Code Holland - 3
22230.00,Vérificateurs/vérificatrices et inspecteurs/inspectrices des essais non destructifs,R,I,C
22231.01,Inspecteurs/inspectrices des anomalies des véhicules motorisés,R,C,I
22231.02,Enquêteurs/enquêteuses d'accidents ferroviaires,I,R,C
22231.03,Inspecteurs/inspectrices de la navigabilité aérienne,R,C,I
22231.04,Inspecteurs/inspectrices des poids et mesures,C,R,I
22231.05,Vérificateurs/vérificatrices d'appareils de forage de pétrole et de gaz,C,R,I
22232.00,Spécialistes de l'hygiène et de la sécurité au travail,C,R,I
22233.00,Inspecteurs/inspectrices en construction,R,C,I
22300.01,Technologues en génie civil,R,C,I
22300.02,Techniciens/techniciennes en génie civil,R,C,I
22301.01,Technologues en génie mécanique,R,I,C
22301.02,Techniciens/techniciennes en génie mécanique,R,C,I
22302.01,Technologues en génie industriel et en génie de fabrication,I,R,C
22302.02,Techniciens/techniciennes en génie industriel et en génie de fabrication,R,I,C
22303.00,Estimateurs/estimatrices en construction,C,E,I
22310.01,Technologues en génie électronique et électrique,I,R,C
22310.02,Techniciens/techniciennes en génie électronique et électrique,R,I,C
22311.00,Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux),R,C,I
22312.00,Techniciens/techniciennes et mécaniciens/mécaniciennes d'instruments industriels,I,R,C
22313.01,Mécaniciens/mécaniciennes et techniciens/techniciennes d'instruments d'aéronefs,R,I,C
22313.02,Mécaniciens/mécaniciennes et techniciens/techniciennes en équipement électrique d'aéronef,R,I,C
22313.03,Mécaniciens/mécaniciennes et techniciens/techniciennes en avionique,R,C,I
22313.04,Inspecteurs/inspectrices en avionique,R,C,I
30010.00,Directeurs/directrices des soins de santé,E,C,S
31100.01,Anesthésiologistes,I,R,S
31100.02,"Internistes, généralistes",I,S,R
31100.03,"Pédiatres, généralistes",I,S,R
31100.04,Psychiatres,I,S,c
31100.05,Allergologues et immunologistes,I,S,R
31100.06,Hospitalistes,S,I,E
31100.07,Neurologues,I,S,R
31100.08,Médecins de médecine nucléaire,I,S,R
31100.09,Dermatologues,I,S,R
31100.10,Médecins de médecine physique et de réadaptation,I,S,R
31100.11,Médecins de médecine préventive,S,I,R
31100.12,Radiologues,I,R,S
31100.13,Autres spécialistes en médecine clinique,I,S,R
31100.14,"Spécialistes en médecine de laboratoire, y compris les pathologistes",I,R,S
31101.01,Chirurgiens généraux,I,R,S
31101.02,Obstétriciens et gynécologues,I,S,R
31101.03,Ophtalmologistes,I,S,R
31101.04,Urologues,I,S,R
31101.05,Autres spécialistes en chirurgie,I,R,S
31102.00,Omnipraticiens/omnipraticiennes et médecins en médecine familiale,I,S,R
31103.00,Vétérinaires,I,R,E
31110.01,Dentistes,I,R,S
31110.02,Chirurgiens buccaux et maxillo-faciaux,R,S,I
31110.03,Orthodontistes,I,R,S
31110.04,Prosthodontistes,I,R,S
31111.00,Optométristes,I,S,R
31112.01,Audiologistes,I,S,R
31112.02,Orthophonistes,S,I,e
31120.01,Pharmaciens communautaires/pharmaciennes communautaires et pharmaciens/pharmaciennes d'hôpitaux,C,S,I
31120.02,Pharmaciens industriels/pharmaciennes industrielles,I,E,C
31121.00,Diététistes et nutritionnistes,I,S,E
31200.00,Psychologues,I,S,A
31201.00,Chiropraticiens/chiropraticiennes,S,I,R
31202.00,Physiothérapeutes,S,I,R
31203.00,Ergothérapeutes,S,I,C
31204.01,Thérapeute par les loisirs,S,I,C
31204.02,Kinésiologues et spécialistes en mécanothérapie,S,I,R
31209.01,Docteurs en médecine podiatrique,I,S,R
31209.02,Podologues et podiatres diplômés ou diplômés du premier degré,I,S,R
31209.03,Docteurs en médecine naturopathique,I,S,e
31209.04,Docteurs en médecine ostéopathique,I,S,R
31300.00,Coordonnateurs/coordonnatrices et superviseurs/superviseures des soins infirmiers,E,S,C
31301.01,Infirmiers autorisés/infirmières autorisées en soins généraux,S,I,C
31301.02,Infirmiers/infirmières en santé du travail,S,E,C
31301.03,Infirmiers/infirmières en santé communautaire,S,E,C
31301.04,Infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées,S,I,C
31301.05,Consultants/consultantes en soins infirmiers et chercheurs infirmiers/chercheuses infirmières en sciences infirmières,I,E,S
31301.06,Infirmiers cliniciens/infirmières cliniciennes,E,S,C
31302.00,Infirmiers praticiens/infirmières praticiennes,S,I,R
31303.01,Adjoints/adjointes au médecin,S,I,R
31303.02,Sages-femmes,S,R,I
31303.03,Conseillers/conseillères en génétique,S,I,r
31303.04,Orthoptistes,I,S,R
31303.05,Assistants/assistantes en pathologie,R,C,I
32100.00,Opticiens/opticiennes d'ordonnances,R,S,C
32101.01,Infirmiers auxiliaires/infirmières auxiliaires,S,R,I
32101.02,Techniciens de salle d'opération,R,S,C
32102.00,Personnel ambulancier et paramédical,S,I,R
32103.01,Inhalothérapeutes,S,I,R
32103.02,Perfusionnistes cardiovasculaires,R,S,C
32103.03,Technologues cardiopulmonaires,R,I,S
32104.00,Technologues en santé animale et techniciens/techniciennes vétérinaires,R,I,C
32109.01,Audioprothésistes,S,R,I
32109.02,Aides-orthophonistes et assistants en troubles de la communication,S,C,r
32109.03,Technologues et techniciens/techniciennes médicaux en ophtalmologie,C,R,I
32109.04,Thérapeutes en réadaptation physique,S,R,i
32109.05,Assistants/assistantes en physiothérapie et assistants/assistantes en ergothérapie,S,R,C
32110.00,Denturologistes,R,C,I
32111.01,Hygiénistes dentaires,S,R,c
32111.02,Thérapeutes dentaires,S,R,i
32112.00,Technologues et techniciens/techniciennes dentaires,R,I,C
32120.00,Technologues de laboratoires médicaux,I,R,C
32121.01,Technologues en radiologie,R,S,C
32121.02,Technologues en médecine nucléaire,I,R,S
32121.03,Technologues en radio-oncologie,S,R,C
32121.04,Technologues en résonance magnétique,R,C,S
32122.00,Technologues en échographie,I,S,R
32123.01,Technologues en cardiologie,R,I,S
32123.02,Technologues en électroencéphalographie (EEG) et Technologues en électromyographie (EMG),R,I,S
32124.00,Techniciens/techniciennes en pharmacie,C,R,I
32129.01,Techniciens/techniciennes en diététique,S,I,R
32129.02,Ocularistes,R,S,I
32129.03,Prothésistes et orthésistes,R,S,I
32129.04,Techniciens prothésistes/techniciennes prothésistes et techniciens orthésistes/techniciennes orthésistes,R,C,s
32200.01,Praticiens/praticiennes de médecine traditionnelle chinoise,S,I,C
32200.02,Acupuncteurs/acupunctrices,S,R,I
32201.00,Massothérapeutes,S,R,
32209.01,Herboristes,S,I,e
32209.02,Praticien/praticienne en médecine ostéopathique manuelle,S,R,I
32209.03,Homéopathes,S,E,I
32209.04,Réflexologues,S,R,I
