Code de profil SIPeC,Codes exclus,Appellation d'emploi
94131.00,53124.07,tricoteur/tricoteuse à la main
94131.00,72400.02,mécanicien/mécanicienne de matériel textile
94141.01,22111.04,inspecteur/inspectrice de viandes
94141.01,94143.00,classeur/classeuse de viande
94141.02,22111.04,inspecteur/inspectrice de viandes
94141.02,94143.00,classeur/classeuse de viande
94143.00,22100.01,qualiticien spécialiste/qualiticienne spécialiste - transformation des aliments
94143.00,22100.02,qualiticien/qualiticienne - transformation des aliments
94151.01,14112.01,opérateur/opératrice de matériel d'éditique
94151.03,14112.01,opérateur/opératrice de matériel d'éditique
94152.00,53124.07,artisan relieur/artisane relieuse
94153.00,72022.00,surveillant/surveillante du développement de photos et de films
94200.01,72410.02,réparateur/réparatrice de véhicules automobiles
94200.01,94213.01,nettoyeur-enduiseur/nettoyeuse-enduiseuse de véhicules
94200.01,94213.01,peintre au montage d'automobiles
94200.02,72410.02,réparateur/réparatrice de véhicules automobiles
94219.01,53124.01,fabricant/fabricante de canots - métiers d'art
94219.01,72104.00,charpentier/charpentière en fer de marine
94219.01,72104.00,ajusteur/ajusteuse en construction navale
94219.01,72310.00,charpentier/charpentière de bateau en bois
94219.01,72310.00,charpentier/charpentière de navires en bois
94219.01,72423.01,technicien/technicienne en réparations navales
94219.01,95109.00,manoeuvre au montage de bateau
94219.01,95109.00,aide au montage de bateau
00011.00,00010,
00011.00,40010,
00011.00,40011,
00011.00,40012,
00011.00,40019,
00012.00,10020,
00012.00,10021,
00012.00,10022,
00012.00,10029,
00012.00,10030,
00012.00,20010,
00012.00,20011,
00012.00,20012,
00013.00,30010,
00013.00,40010,
00013.00,40012,
00013.00,40019,
00013.00,40020,
00013.00,40021,
00013.00,40030,
00014.00,50010,
00014.00,50011,
00014.00,50012,
00014.00,60020,
00014.00,60030,
00014.00,60031,
00014.00,60040,
00015.00,70010,
00015.00,70011,
00015.00,70012,
00015.00,80010,
00015.00,90010,
00015.00,90011,
10011.00,11200,
10011.00,12101,
10012.00,12102,
10012.00,62101,
10019.00,10010,
10019.00,10011,
10019.00,10012,
10019.00,14103,
10019.00,20012,
10019.00,70012,
10020.01,00012,
10020.01,10010,
