OaSIS profile code,Additional information (EN)
72024.00,There is little mobility between occupations in the different transportation sectors of this unit group.
72100.01,Familiarity with exotic and composite materials may be required for machinists in aviation and other advanced manufacturing sectors.
72100.01,The Red Seal endorsement allows for interprovincial mobility.
72100.01,Progression to supervisory positions is possible with experience.
72100.02,Familiarity with exotic and composite materials may be required for machinists in aviation and other advanced manufacturing sectors.
72100.02,The Red Seal endorsement allows for interprovincial mobility.
72100.02,Progression to supervisory positions is possible with experience.
72101.01,The Red Seal endorsement allows for interprovincial mobility.
72101.01,Progression to supervisory positions is possible with experience.
72101.02,The Red Seal endorsement allows for interprovincial mobility.
72101.02,Progression to supervisory positions is possible with experience.
72102.00,The Red Seal endorsement allows for interprovincial mobility.
72102.00,Progression to supervisory positions is possible with experience.
72102.00,"Sheet metal workers may specialize in on-site installation or shop manufacture of sheet metal products, or servicing and maintenance of installed equipment and systems."
72103.00,The Red Seal endorsement allows for interprovincial mobility.
72103.00,Progression to supervisory positions is possible with experience.
72103.00,"Boilermakers may specialize in rigging and hoisting, preparation and layout, or welding aspects of the trade."
72104.00,Progression to supervisory positions is possible with experience.
72104.00,Some structural metal and platework fabricators and fitters may also be certified as skilled welders.
72104.00,The Red Seal endorsement allows for interprovincial mobility.
72105.00,The Red Seal endorsement allows for interprovincial mobility.
72105.00,Progression to supervisory positions is possible with experience.
72106.01,The Red Seal endorsement allows for interprovincial mobility.
72106.01,Progression to supervisory positions is possible with experience.
72106.01,"Welders may specialize in certain types of welding such as custom fabrication, ship building and repair, aerospace precision welding, pressure vessel welding, pipeline construction welding, structural construction welding, or machinery and equipment repair welding."
72106.02,The Red Seal endorsement allows for interprovincial mobility.
72106.02,Progression to supervisory positions is possible with experience.
72200.00,The Red Seal endorsement allows for interprovincial mobility.
72200.00,Progression to supervisory positions is possible with experience.
72201.00,The Red Seal endorsement allows for interprovincial mobility.
72201.00,Progression to supervisory positions is possible with experience.
72202.00,Progression to supervisory positions is possible with experience.
72203.00,The Red Seal endorsement allows for interprovincial mobility.
72203.00,Progression to supervisory positions is possible with experience.
72204.00,Progression to supervisory positions is possible with experience.
72205.05,Progression to supervisory positions for cable television service technician is possible with experience.
72300.00,The Red Seal endorsement allows for interprovincial mobility.
72300.00,Progression to supervisory positions is possible with experience.
72301.01,The Red Seal endorsement allows for interprovincial mobility.
72301.01,Progression to supervisory positions is possible with experience.
72301.02,The Red Seal endorsement allows for interprovincial mobility.
72301.02,Progression to supervisory positions is possible with experience.
72302.00,Progression to supervisory positions is possible with experience.
72310.00,The Red Seal endorsement allows for interprovincial mobility.
72310.00,Progression to supervisory positions is possible with experience.
72311.00,The Red Seal endorsement allows for interprovincial mobility.
72311.00,Progression to supervisory positions is possible with experience.
72320.00,The Red Seal endorsement allows for interprovincial mobility.
72320.00,Progression to supervisory positions is possible with experience.
72321.00,The Red Seal endorsement allows for interprovincial mobility.
72321.00,Progression to supervisory positions is possible with experience.
72400.01,Construction millwrights are mostly engaged in the initial installation of industrial plant machinery and equipment; industrial mechanics are more concerned with the post-installation maintenance and repair of machinery and equipment.
72400.01,"Industrial mechanics and millwrights may be cross-trained in a second trade such as pipefitting, welding, machining or electrical maintenance."
72400.01,The Red Seal endorsement allows for interprovincial mobility.
72400.01,Progression to supervisory positions is possible with experience.
72401.00,Progression to supervisory positions is possible with experience.
72401.00,The Red Seal endorsement allows for interprovincial mobility.
72401.00,"Heavy-duty mechanics may specialize in specific types of machinery such as combines or tracked vehicles, or in engine overhaul, power shift transmissions, fuel injection, hydraulics or electronics."
72402.00,The Red Seal endorsement allows for interprovincial mobility.
72402.00,Progression to supervisory positions is possible with experience.
72403.00,Progression to supervisory positions is possible with experience.
72404.01,"Aircraft mechanics may progress to foreman/woman, shop supervisor or aircraft inspector."
72404.01,Aircraft mechanics and inspectors may acquire further endorsements to their AME licence allowing them to inspect and certify a broader range of aircraft and aircraft systems.
72404.01,"AME licences are issued in the following categories: M - Small and Large Aircrafts, E - Electronic Systems, S - Aircraft Structures."
72404.01,"Aircraft mechanics usually specialize in working on specific aircraft systems such as engines, engine accessories, airframes, propellers, mechanical components or hydraulic systems and specific kinds of aircraft, such as light aircraft, jet transports and helicopters."
72404.02,"With experience, aircraft inspectors may progress to shop inspector or supervisor."
72404.02,Aircraft mechanics and inspectors may acquire further endorsements to their AME licence allowing them to inspect and certify a broader range of aircraft and aircraft systems.
72404.02,"AME licences are issued in the following categories: M - Small and Large Aircrafts, E - Electronic Systems, S - Aircraft Structures."
72405.00,Progression to supervisory positions is possible with experience.
72406.00,Progression to supervisory positions is possible with experience.
72406.00,"Elevator constructors and mechanics may specialize in construction, maintenance or repair."
72410.01,"With additional training, mobility is possible between automobile and truck and transport mechanics."
72410.01,The Red Seal endorsement allows for interprovincial mobility.
72410.01,"With experience, mechanics and technicians in this unit group may progress to supervisory positions."
72410.01,"Workers in this unit group may specialize in the following areas: engine and fuel systems, transmission systems, air conditioning, cooling and heating systems, steering, alignment, brakes, drive lines, suspension, electrical and electronic systems, truck-trailer repair or diagnostic services."
72410.02,"With additional training, mobility is possible between automobile and truck and transport mechanics."
72410.02,The Red Seal endorsement allows for interprovincial mobility.
72410.02,"With experience, mechanics and technicians in this unit group may progress to supervisory positions."
72410.02,"Mechanical repairers employed in motor vehicle manufacturing may progress to motor vehicle mechanic positions through an apprenticeship program, or with experience, they may progress to supervisory positions in motor vehicle manufacturing."
72410.02,"Workers in this unit group may specialize in the following areas: engine and fuel systems, transmission systems, air conditioning, cooling and heating systems, steering, alignment, brakes, drive lines, suspension, electrical and electronic systems, truck-trailer repair or diagnostic services."
72410.03,"With additional training, mobility is possible between automobile and truck and transport mechanics."
72410.03,The Red Seal endorsement allows for interprovincial mobility.
72410.03,"With experience, mechanics and technicians in this unit group may progress to supervisory positions."
72410.03,"Workers in this unit group may specialize in the following areas: engine and fuel systems, transmission systems, air conditioning, cooling and heating systems, steering, alignment, brakes, drive lines, suspension, electrical and electronic systems, truck-trailer repair or diagnostic services."
72411.00,The Red Seal endorsement allows for interprovincial mobility.
72411.00,"With experience, auto body, collision and refinishing technicians tradespersons and automobile damage repair estimators may progress to supervisory positions."
72411.00,"Metal repairers employed in motor vehicle manufacturing may progress to motor vehicle repairer positions through an apprenticeship program, or, with experience, they may progress to supervisory positions in motor vehicle manufacturing."
72420.00,The Red Seal endorsement allows for interprovincial mobility.
72420.00,Progression to supervisory positions is possible with experience.
72421.01,The Red Seal endorsement allows for interprovincial mobility.
72421.01,Progression to supervisory positions is possible with experience.
72421.02,The Red Seal endorsement allows for interprovincial mobility.
72421.02,Progression to supervisory positions is possible with experience.
72422.00,The Red Seal endorsement allows for interprovincial mobility.
72422.00,"Although specialization may occur, workers in this unit group are required to be proficient in repairing all electrical apparatus."
72422.00,Progression to supervisory positions is possible with experience.
72422.00,"Electrical mechanics may specialize in working with certain types of apparatus, such as electric motors or transformers, or in performing certain functions, such as winding coils."
72423.01,The Red Seal endorsement allows for interprovincial mobility.
72423.01,There is mobility among some occupations in this unit group.
72423.01,Progression to supervisory positions is possible with experience.
72423.02,The Red Seal endorsement allows for interprovincial mobility.
72423.02,There is mobility among some occupations in this unit group.
72423.02,Progression to supervisory positions is possible with experience.
72429.00,Progression to supervisory positions is possible with experience.
72500.00,The Red Seal endorsement allows for interprovincial mobility.
72500.00,Progression to supervisory positions is possible with experience.
72501.00,Mobility is possible among the various well drilling operators in this unit group.
72501.00,Progression to supervisory positions is possible with experience.
72501.00,"Water well drillers may specialize in a specific method of drilling, such as cable, rotary, auger, hammer or reverse circulation drilling."
72600.02,Flight engineers may progress to co-pilot and pilot positions with required hours of flying experience and completion of licensing and endorsement requirements.
72601.01,Air traffic controllers with experience and appropriate NAV Canada endorsements may move to units with higher volumes of air traffic.
72602.00,"Transport Canada administers a deck officer certification program, consisting of several levels. Progression from one level of certification to the next requires additional experience, training and testing."
72602.00,Mobility between employers is possible for positions requiring the same level of certification.
72602.00,Progression to management positions in transportation is possible with experience.
72603.00,"Fourth class marine engineer certificate is the entry level of a four-level certification program administered by Transport Canada. Progression from one level of certification to the next requires additional experience, training and testing."
72603.00,Mobility between employers is possible for positions requiring the same level of certification.
72603.00,Progression to management positions in transportation is possible with experience.
72604.01,There is little mobility between traffic controlling occupations in the railway and marine sectors.
72604.01,"With experience, railway traffic controllers may progress to supervisory positions in rail transport operations."
72604.02,There is little mobility between traffic controlling occupations in the railway and marine sectors.
72999.01,There is little or no mobility among occupations in this unit group.
72999.01,Progression to supervisory positions is possible with experience.
72999.02,There is little or no mobility among occupations in this unit group.
72999.02,Progression to supervisory positions is possible with experience.
72999.03,There is little or no mobility among occupations in this unit group.
72999.03,Progression to supervisory positions is possible with experience.
72999.04,There is little or no mobility among occupations in this unit group.
72999.04,Progression to supervisory positions is possible with experience.
72999.05,There is little or no mobility among occupations in this unit group.
72999.05,Progression to supervisory positions is possible with experience.
72999.06,There is little or no mobility among occupations in this unit group.
72999.06,Progression to supervisory positions is possible with experience.
73100.00,The Red Seal endorsement allows for interprovincial mobility.
73100.00,Progression to supervisory positions is possible with experience.
73101.00,Progression to supervisory positions is possible with experience.
73102.01,Progression to supervisory positions is possible with experience.
73102.01,The Red Seal endorsement allows for interprovincial mobility.
73102.02,Progression to supervisory positions is possible with experience.
73102.02,The Red Seal endorsement allows for interprovincial mobility.
73102.03,Progression to supervisory positions is possible with experience.
73102.03,The Red Seal endorsement allows for interprovincial mobility.
73110.01,The Red Seal endorsement allows for interprovincial mobility.
73110.01,Progression to supervisory positions is possible with experience.
73110.02,The Red Seal endorsement allows for interprovincial mobility.
73110.02,Progression to supervisory positions is possible with experience.
73111.00,The Red Seal endorsement allows for interprovincial mobility.
73111.00,Progression to supervisory positions is possible with experience.
73112.00,The Red Seal endorsement allows for interprovincial mobility.
73112.00,Progression to supervisory positions is possible with experience.
73113.00,The Red Seal endorsement allows for interprovincial mobility.
73113.00,Progression to supervisory positions is possible with experience.
73200.00,There is some mobility among the various types of installers and servicers in this unit group.
73201.00,Progression to supervisory positions is possible with additional training or experience.
73202.00,Progression to supervisory positions is possible with experience.
73209.00,Some mobility may occur among workers in this unit group.
73209.00,Progression to supervisory positions is possible with experience.
73300.01,"Progression to supervisory positions or to non-driving occupations, such as driver trainer, safety officer or truck dispatcher is possible with additional training or experience."
73300.02,"Progression to supervisory positions or to non-driving occupations, such as driver trainer, safety officer or truck dispatcher is possible with additional training or experience."
73301.01,"Progression to transit supervisory positions, inspector or training instructor positions is possible with experience."
73301.02,"Progression to transit supervisory positions, inspector or training instructor positions is possible with experience."
73301.03,"Progression to transit supervisory positions, inspector or training instructor positions is possible with experience."
73310.01,Mobility between railway transport companies or between establishments employing locomotive engineers may be limited due to seniority provisions of collective agreements.
73310.02,Mobility between railway transport companies or between establishments employing locomotive engineers may be limited due to seniority provisions of collective agreements.
73311.01,"With experience, railway conductors may progress to locomotive engineers."
73311.02,"With experience, brakemen/women may progress to railway conductors."
73400.00,Progression to supervisory positions is possible with experience.
73400.00,The Red Seal endorsement allows for interprovincial mobility.
73401.00,"Progression to supervisory positions, such as pressroom supervisor, is possible with experience."
73402.01,Drillers and blasters often perform both drilling and blasting activities.
73402.01,Progression to supervisory positions is possible with experience.
73402.02,Drillers and blasters often perform both drilling and blasting activities.
73402.02,Progression to supervisory positions is possible with experience.
74100.01,Progression to supervisory or facility management positions is possible with additional training or experience.
74100.02,Progression to supervisory or facility management positions is possible with additional training or experience.
74101.00,Progression to supervisory positions is possible with additional training or experience.
74102.00,There is some mobility into other delivery occupations such as delivery drivers.
74102.00,There may be mobility to clerical occupations within the company.
74102.00,Progression to supervisory positions may be possible with experience.
74200.01,Progression to a position such as brakeman is possible with experience.
74200.02,Progression to a position such as brakeman is possible with experience.
74201.01,"Training and testing for various endorsements and certification, including the Marine Emergency Duty (MED) certificate, occur following employment as a deck crew member."
74201.01,"Senior positions in this unit group, such as able seaman/woman, require experience."
74201.01,"Progression to deck or ship engineer officer positions is possible with experience, additional training and deck officer certification by Transport Canada."
74201.02,"Training and testing for various endorsements and certification, including the Marine Emergency Duty (MED) certificate, occur following employment as a deck crew member."
74201.02,"Senior positions in this unit group, such as able seaman/woman, require experience."
74201.02,"Progression to deck or ship engineer officer positions is possible with experience, additional training and deck officer certification by Transport Canada."
74202.00,There is mobility among jobs in this unit group.
74203.00,There is some mobility among installers and servicers in this unit group.
74203.00,Progression to supervisory positions is possible with experience.
74204.01,"Mobility between jobs in this unit group normally occurs within the same area of work, such as within waste water treatment plants, within water filtration and distribution plants or within gas distribution plants."
74204.01,Progression to supervisory positions is possible with experience.
74204.02,"Mobility between jobs in this unit group normally occurs within the same area of work, such as within waste water treatment plants, within water filtration and distribution plants or within gas distribution plants."
74204.02,Progression to supervisory positions is possible with experience.
74205.00,Progression to supervisory positions is possible with experience.
75100.00,Progression to foreman/woman or supervisor of longshore workers is possible with experience.
75110.00,Mobility is possible among workers in this unit group.
75110.00,Progression from rigger to crane operator is possible with experience and additional certification.
75119.00,There is little or no mobility between occupations in this unit group.
75200.01,Mobility from taxi or limousine driver to chauffeur is possible with experience.
75201.00,"Progression to supervisory positions or to non-driving occupations, such as driver trainer or dispatcher is possible with additional training or experience."
75210.01,"There is little or no mobility among lock equipment operators, cable ferry operators and ferry terminal workers."
75210.02,"There is little or no mobility among lock equipment operators, cable ferry operators and ferry terminal workers."
75210.02,Mobility between boat operators in this unit group is possible.
75210.02,"Progression from boat operator positions to deck officer positions is possible with additional training, experience and certification."
75210.03,"There is little or no mobility among lock equipment operators, cable ferry operators and ferry terminal workers."
75210.03,Mobility between boat operators in this unit group is possible.
75210.03,"Progression from boat operator positions to deck officer positions is possible with additional training, experience and certification."
75210.04,"There is little or no mobility among lock equipment operators, cable ferry operators and ferry terminal workers."
75210.04,Mobility between boat operators in this unit group is possible.
75210.04,"Progression from boat operator positions to deck officer positions is possible with additional training, experience and certification."
75211.01,"With experience, railway labourers may progress to railway track maintenance workers or railway yard workers."
75212.00,Progression to supervisory positions or to public works maintenance equipment operator positions is possible with experience.
80010.00,Progression to senior management positions in the respective industries is possible with experience.
80020.00,"Managers in agriculture manage farms of various sizes which may specialize in particular crops such as wheat, apples or potatoes or raise particular livestock such as beef cattle, swine or poultry."
82020.00,"Mobility between surface mining, underground mining, coal or metal mining sectors may be limited by differences in production technologies and licensing requirements."
82020.00,"There is mobility between employers, especially for supervisors with post-secondary diplomas or degrees."
82021.00,There is little mobility for supervisors from well services to well drilling.
82030.02,"Farm supervisors may specialize in areas such as dairy, poultry, swine, beef, sheep, equine, fruit, vegetable, mixed or other specialty farming."
83100.00,Mobility is possible to other occupational groups in underground mining such as underground service and support occupations.
83100.00,Mobility between these sectors is somewhat limited by differences in production technologies.
83100.00,"There is mobility between employers within each of the three following sectors: underground coal mining, underground hard rock mining and underground potash, salt or soft rock mining."
83100.00,Progression to mining supervisor is possible with experience.
83101.01,"Mobility between jobs on drilling and service rigs is limited by the differences in the machinery, tools and operations performed, but mobility is possible especially from drilling to service rigs."
83101.01,Progression to crew supervisor or manager is possible with experience and additional education and training.
83101.01,The Red Seal endorsement allows for interprovincial mobility.
83101.02,"Mobility between jobs on drilling and service rigs is limited by the differences in the machinery, tools and operations performed, but mobility is possible especially from drilling to service rigs."
83101.02,Progression to crew supervisor or manager is possible with experience and additional education and training.
83101.02,The Red Seal endorsement allows for interprovincial mobility.
83110.00,Self-employment as a logging contractor is possible with investment in equipment.
83110.00,There is some mobility among jobs in this group from the less complex to more complex machinery operation.
83110.00,"There is some mobility between employers, particularly in similar types of woodland operations."
83110.00,Logging machinery operators may perform minor repairs and maintenance on their equipment.
83110.00,Progression to logging and forestry supervisory positions is possible with experience.
83120.00,Completion of Transport Canada examinations is required to advance from Fishing Master Class IV through Class I. Training programs are provided in provincial training centres.
83120.00,Progression to merchant or government vessel officer positions (which require a Marine Officer Certificate) is possible with additional training and experience.
83121.00,"Progression to master or mate on fishing vessels over 100 gross tonnes is possible with additional training, licensing and experience."
84100.00,Mobility between these sectors is somewhat limited by differences in production technologies.
84100.00,"There is mobility between employers within each of the three following sectors: underground coal mining, underground hard rock mining and underground potash, salt or soft rock mining."
84100.00,Mobility is possible to other occupational groups in underground mining.
84101.01,Progression to oil and gas well driller or service rig operator is possible with experience.
84101.02,Progression to supervisor of well services is possible for gas and oil well services operators.
84101.02,Progression to oil and gas well driller or service rig operator is possible with experience.
84110.00,Mobility may be limited from eastern and central forest zones to western forest zones where tree size or steep terrain may require different cutting and yarding methods.
84110.00,Progression to logging machinery operator positions is possible with experience.
84110.00,There is a trend toward company certification of chain saw operators in larger companies.
84110.00,There is some mobility among jobs within this unit group as chain saw and skidder operators often work in teams and rotate jobs.
84110.00,Chain saw operators often must own and maintain their own chain saw.
84110.00,Progression to supervisory positions or self-employment as a logging contractor is possible with experience.
84111.00,There is some mobility among jobs in this unit group.
84111.00,Progression to forestry technician or technologist is possible with additional education and training.
84111.00,Progression to supervisory positions is possible with experience.
84120.01,Progression to supervisory positions is possible with experience.
84120.01,"Specialized livestock workers usually specialize in one type of farm animal such as beef cattle, dairy cattle, poultry or swine."
84120.02,Progression to supervisory positions is possible with experience.
84121.00,Fishing vessel deckhands may become skippers upon acquiring an entry licence and a boat.
84121.00,Fishing vessel deckhands may progress to watchkeeper or mate positions with additional training.
85100.00,Progression to other livestock worker positions is possible with experience.
85101.00,Progression to other farm worker positions is possible with experience.
85103.00,"Progression to supervisory positions, such as greenhouse supervisor, is possible with experience."
85104.00,"In some jurisdictions, trappers may be allocated trapping areas based on their experience."
85104.00,Trappers and hunters may specialize in trapping or hunting a particular kind of animal.
85110.00,Progression to underground production and development miner or underground mine service and support worker is possible with experience and training.
85110.00,There is mobility among jobs in this group.
85111.00,Progression to more senior operating positions is possible with experience.
85120.00,"Progression to other positions, such as silviculture and forestry worker, chain saw and skidder operator or logging machinery operator, is possible with experience."
85120.00,There is mobility among jobs in this unit group.
85121.00,Progression to technical or supervisory occupations in landscaping and horticulture is possible with additional training or experience.
90010.00,Progression to senior management positions is possible with experience.
90011.01,Progression to senior management positions in the utility industry is possible with experience.
90011.02,Progression to senior management positions in the utility industry is possible with experience.
90011.03,Progression to senior management positions in the utility industry is possible with experience.
90011.04,Progression to senior management positions in the utility industry is possible with experience.
90011.05,Progression to senior management positions in the utility industry is possible with experience.
92011.00,There is some mobility between occupations with similar technological or licensing requirements within this group.
92012.00,"Hazard analysis critical control point (HACCP) coordinators identify, evaluate, control and prevent hazards at all stages of the food production process."
92014.00,Mobility is possible between positions employing similar technology or producing similar products.
92014.00,Progression to managerial positions is possible with experience.
92015.00,There is some mobility among supervisory positions in this group.
92015.00,Progression to managerial positions is possible with experience.
92020.00,Progression to managerial positions is possible with experience.
92024.00,There is little mobility between different types of supervisors in this unit group.
92100.01,There is little mobility between nuclear power generation station operators and other classic or alternative power generation station operators.
92100.01,Progression from lower to higher classes for power or stationary engineers is dependent on further training and experience.
92100.01,Progression to supervisory positions is possible with experience.
92100.02,There is little mobility between nuclear power generation station operators and other classic or alternative power generation station operators.
92100.02,Progression from lower to higher classes for power or stationary engineers is dependent on further training and experience.
92100.02,Progression to supervisory positions is possible with experience.
92101.01,There is limited mobility between water treatment plant and waste plant operators.
92101.01,Progression to supervisory positions is possible with experience.
92101.02,There is limited mobility between water treatment plant and waste plant operators.
92101.02,Progression to supervisory positions is possible with experience.
93100.00,There is little mobility among the various types of central control and process operators within the mineral and metal processing industry.
93100.00,"With experience, central control and process operators may progress to supervisory positions in mineral and metal processing."
93101.00,"There is considerable mobility among jobs within a company, often as part of a formal development or training program."
93101.00,"Mobility to other petroleum or chemical processing plants is possible, but may be limited by the usual practice of training and promoting workers from within the establishment."
93101.00,Progression to supervisory or managerial positions is possible with experience.
93101.00,"Personal protective equipment may be required for occupations in this unit group that may involve exposure to hazards of toxic, flammable or explosive chemicals."
93102.00,There is limited mobility among jobs within this unit group.
93102.00,Progression to supervisory positions is possible with experience.
93200.01,Aircraft assemblers and assembly inspectors may progress to supervisory positions with experience.
93200.02,Aircraft assemblers and assembly inspectors may progress to supervisory positions with experience.
94100.00,"With experience, machine operators may progress to central control and process operators in mineral and metal processing."
94100.00,There is little mobility among the various types of machine operators within the mineral and metal processing industry.
94101.01,There is some mobility between workers in this unit group.
94101.01,Progression to supervisory positions is possible with experience.
94101.02,There is some mobility between workers in this unit group.
94101.02,Progression to supervisory positions is possible with experience.
94101.03,There is some mobility between workers in this unit group.
94101.03,Progression to supervisory positions is possible with experience.
94102.01,Mobility is possible among the various types of machine operators in this unit group.
94102.01,Progression to supervisory positions is possible with experience.
94102.02,Mobility is possible among the various types of machine operators in this unit group.
94102.02,Progression to supervisory positions is possible with experience.
94102.03,Mobility is possible among the various types of machine operators in this unit group.
94102.03,Progression to supervisory positions is possible with experience.
94102.04,Mobility is possible among the various types of machine operators in this unit group.
94102.04,Progression to supervisory positions is possible with experience.
94103.01,"Mobility is possible between workers within each of the concrete, clay and stone manufacturing sectors, but there is little or no mobility between these manufacturing sectors."
94103.01,Progression to supervisory positions is possible with experience.
94103.02,"Mobility is possible between workers within each of the concrete, clay and stone manufacturing sectors, but there is little or no mobility between these manufacturing sectors."
94103.02,Progression to supervisory positions is possible with experience.
94103.03,"Mobility is possible between workers within each of the concrete, clay and stone manufacturing sectors, but there is little or no mobility between these manufacturing sectors."
94103.03,Progression to supervisory positions is possible with experience.
94105.01,Progression to structural metal fabricator or supervisory positions is possible with experience for metalworking machine operators.
94105.01,There is little or no mobility between operators of light and heavy metalworking machines.
94105.01,"Progression to blacksmith, die setting, or supervisory positions is possible with experience for forging machine operators."
94105.02,"Progression to blacksmith, die setting, or supervisory positions is possible with experience for forging machine operators."
94106.00,Experienced machining tool operators may become machinists or tool and die makers through apprenticeship training.
94107.00,There is some mobility among machine operators in this unit group.
94107.00,Progression to supervisory positions is possible with experience.
94110.00,Mobility between employers producing similar products is possible for some of the more skilled operators in this unit group.
94110.00,Personal protective equipment may be required when working with some types of chemicals or pharmaceuticals.
94110.00,Progression to supervisory positions or to process control occupations is possible with experience.
94111.01,Mobility among the various operators in this unit is possible.
94111.01,Progression to supervisory positions is possible with experience.
94111.02,Mobility among the various operators in this unit is possible.
94111.02,Progression to supervisory positions is possible with experience.
94111.03,Mobility among the various operators in this unit is possible.
94111.03,Progression to supervisory positions is possible with experience.
94111.04,Mobility among the various operators in this unit is possible.
94111.04,Progression to supervisory positions is possible with experience.
94112.01,Progression to supervisory positions is possible with experience.
94112.01,Mobility among the various labourers in this unit group is possible.
94112.02,Progression to supervisory positions is possible with experience.
94112.02,Mobility among the various labourers in this unit group is possible.
94112.03,Progression to supervisory positions is possible with experience.
94112.03,Mobility among the various labourers in this unit group is possible.
94120.00,There is some mobility among jobs in this occupational group.
94120.00,Progression to supervisory positions is possible with experience.
94121.00,There is limited mobility among jobs within this occupational group.
94121.00,Progression to pulping or papermaking and coating control operator occupations is possible with experience.
94122.00,There is some mobility between jobs in this occupational group.
94123.01,There is some mobility between employers processing similar wood products.
94123.02,There is some mobility between employers processing similar wood products.
94124.00,Progression to supervisory positions is possible with experience.
94124.00,Mobility is common among jobs in this unit group.
94129.00,"Progression to other positions in the wood, pulp and paper industries is possible with experience."
94129.00,There is some mobility among jobs in this unit group.
94130.01,Progression to supervisory positions is possible with experience for fibre and yarn preparation machine operators and hide and pelt processing machine operators and workers.
94130.01,"Progression to supervisory positions in textile processing usually requires completion of a college program in textiles, chemistry or a related subject."
94130.01,There is some mobility among jobs in this unit group.
94130.02,Progression is possible within the group to operate more complex dye ranges and textile printing equipment.
94130.02,"Progression to supervisory positions in textile processing usually requires completion of a college program in textiles, chemistry or a related subject."
94130.02,There is some mobility among jobs in this unit group.
94131.00,Mobility among employers may be limited by differences in machines and products.
94131.00,Progression to textile machinery mechanics and repairers or to supervisory positions is possible with experience and training.
94132.00,Industrial sewing machine operators may progress to supervisory positions with experience.
94133.00,There is limited mobility among the different inspectors and graders in this unit group.
94140.01,Process control operators may progress to supervisory positions in food and beverage processing with experience.
94140.01,There is little mobility among the various types of process control operators within the food and beverage processing industry.
94140.02,Machine operators may progress to process control operation or supervisory positions in food and beverage processing with experience.
94140.02,There is mobility among machine operators within the food and beverage processing industry.
94141.01,Progression to supervisory positions is possible with experience.
94141.02,"Industrial meat cutters may progress to inspecting, testing and grading jobs."
94141.02,Progression to supervisory positions is possible with experience.
94141.03,Progression to supervisory positions is possible with experience.
94142.01,Progression to supervisory positions is possible with experience.
94142.02,Progression to supervisory positions is possible with experience.
94143.00,Progression to supervisory positions is possible with experience.
94143.00,There is little mobility among the various types of testers and graders in this unit group.
94152.00,There is some mobility among various types of binding and finishing machine operator occupations in this group.
94152.00,Progression to supervisory positions is possible with experience.
94153.00,Progression is possible from automatic machine tenders in retail establishments to laboratory processing occupations.
94153.00,There is mobility among occupations within laboratory processing operations.
94200.01,Mobility is possible to jobs in the same production department.
94200.01,Progression to supervisory positions is possible with experience.
94200.02,Mobility is possible to jobs in the same production department.
94200.02,Progression to supervisory positions is possible with experience.
94201.01,Progression from electronics assembler or component fabricator to electronics inspector or tester is possible with additional training and experience.
94202.01,Progression to supervisory positions is possible with experience.
94202.01,With experience assemblers may progress to inspecting and testing positions.
94202.02,Progression to supervisory positions is possible with experience.
94203.01,Progression to supervisory positions is possible with experience.
94203.02,Progression to supervisory positions is possible with experience.
94203.03,Progression to supervisory positions is possible with experience.
94204.01,Progression to supervisory positions is possible with experience.
94204.01,There is little or no mobility among the various assemblers and inspectors in this unit group.
94204.02,Progression to supervisory positions is possible with experience.
94204.02,There is little or no mobility among the various assemblers and inspectors in this unit group.
94205.01,Progression to supervisory positions is possible with experience.
94205.01,"With experience, machine operators may progress to inspecting and testing positions."
94205.02,Progression to supervisory positions is possible with experience.
94210.01,Mobility is possible between jobs in this unit group.
94210.01,Progression to supervisory positions is possible with experience.
94210.02,Mobility is possible between jobs in this unit group.
94210.02,Progression to supervisory positions is possible with experience.
94210.03,Mobility is possible between jobs in this unit group.
94210.03,Progression to supervisory positions is possible with experience.
94210.04,Mobility is possible between jobs in this unit group.
94210.04,Progression to supervisory positions is possible with experience.
94212.01,Mobility among the various workers in this unit group is possible.
94212.01,Progression to supervisory positions is possible with experience.
94212.02,Mobility among the various workers in this unit group is possible.
94212.02,Progression to supervisory positions is possible with experience.
94213.01,Progression to supervisory positions is possible with experience.
94213.02,Progression to supervisory positions is possible with experience.
94219.01,There is little or no mobility among the various assemblers and inspectors in this unit group.
94219.01,Progression to supervisory positions is possible with experience.
94219.02,There is little or no mobility among the various assemblers and inspectors in this unit group.
94219.02,Progression to supervisory positions is possible with experience.
95100.00,Progression to machine and process operator positions is possible with experience.
95101.00,There is some mobility among occupations in this unit group.
95101.00,Progression to metalworking machine operator positions is possible with experience.
95102.00,Considerable mobility is possible among jobs in this unit group.
95102.00,Progression to operator positions in the chemical or utility industry is possible with experience and appropriate qualifications.
95103.00,Progression to machine or plant operating positions is possible with experience.
95103.00,There is considerable mobility among jobs within individual establishments.
95104.00,Progression to machine operator or assembler positions in rubber and plastic products manufacturing is possible with experience.
95105.01,Progression to machine operator or supervisory positions is possible with experience.
95105.01,There is little mobility among the different kinds of cutters in this unit group.
95105.02,Progression to machine operator or supervisory positions is possible with experience.
95105.02,There is little mobility among the different kinds of cutters in this unit group.
95105.03,Progression to machine operator or supervisory positions is possible with experience.
95105.03,There is little mobility among the different kinds of cutters in this unit group.
95105.04,Progression to machine operator or supervisory positions is possible with experience.
95105.04,There is little mobility among the different kinds of cutters in this unit group.
95106.00,There is some mobility among occupations in this unit group.
95106.00,"Labourers in food, beverage and associated products processing may progress to machine or process operating positions with experience."
95107.00,Progression to other occupations in the fish processing industry is possible with experience.
95109.00,There is some mobility among occupations in this unit group.
