Code de profil professionnel SIPeC,Etiquette
33100.01,Assistants/assistantes dentaires
33100.02,Auxiliaires dans les laboratoires dentaires
33101.00,Assistants/assistantes de laboratoires médicaux et préposés/préposées techniques reliés
33102.00,"Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires"
33103.00,Assistants techniques/assistantes techniques en pharmacie et assistants/assistantes en pharmacie
33109.01,Techniciens/techniciennes en audiométrie
33109.02,Technologues en orthopédie
33109.03,Aides en réadaptation
33109.04,Assistants/Assistantes en ophtalmologie
33109.05,Techniciens/techniciennes et assistants/assistantes de laboratoire d'optique et d'ophtalmologie
33109.06,Techniciens/techniciennes en processus de stérilisation
33109.07,Aides dans les cliniques de collecte de sang
33109.08,Préposés à la morgue
40010.00,Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé
40011.00,"Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes"
40012.00,Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes
40019.00,Autres gestionnaires de la fonction publique
40020.01,Administrateurs/administratrices de faculté
40020.02,Registraires
40020.03,Administrateurs/administratrices d'autres types d'écoles de formation professionnelle
40021.01,Directeurs/directrices d'école
40021.02,Administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire
40030.00,"Directeurs/directrices des services sociaux, communautaires et correctionnels"
40040.00,Officiers/officières de direction des services de police et professions connexes des services de la protection du public
40041.00,Chefs et officiers supérieurs/officières supérieures des services d'incendie
40042.00,Officiers/officières de direction des Forces armées canadiennes
41100.00,Juges
41101.00,Avocats/avocates (partout au Canada) et notaires (au Québec)
41200.00,Professeurs/professeures et chargés/chargées de cours au niveau universitaire
41201.01,Assistants/assistantes d'enseignement au niveau postsecondaire
41201.02,Assistants/assistantes de recherche au niveau postsecondaire
41210.00,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle
41220.00,Enseignants/enseignantes au niveau secondaire
41221.00,Enseignants/enseignantes aux niveaux primaire et préscolaire
41300.00,Travailleurs sociaux/travailleuses sociales
41301.00,Thérapeutes en counseling et thérapies spécialisées connexes
41302.00,Chefs religieux
41310.01,Enquêteurs/enquêteuses de police et autres professions d’enquête
41310.02,Coroners et médecins légistes
41311.00,Agents/agentes de probation et de libération conditionnelle
41320.00,Conseillers/conseillères en information scolaire
41321.00,Conseillers/conseillères en développement de carrière et conseillers/conseillères en orientation (sauf éducation)
41400.01,Ergonomes
41400.02,Hygiénistes industriels/hygiénistes industrielles et hygiénistes du travail
41400.03,Agents/agentes de brevets
41400.04,Agents/agentes de programmes et de politiques de la science
41400.05,Agents/agentes de transfert de technologie
41401.00,"Économistes, recherchistes et analystes des politiques économiques"
41402.00,Agents/agentes de développement économique et recherchistes et analystes en marketing
41403.01,Recherchistes en matière de politiques sociales
41403.02,Conseillers/conseillères en économie domestique
41403.03,Analystes de politiques du logement
41403.04,Consultants/consultantes en immigration et en citoyenneté
41403.05,Agents/agentes de projets d'aide et de développement internationaux
41403.06,Recherchistes pour des enquêtes sociales
41403.07,Planificateurs/planificatrices de services sociaux
41404.00,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé"
41405.00,"Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement"
41406.01,"Experts-conseils en programmes sportifs, de conditionnement physique et de loisirs"
41406.02,"Analystes des politiques des sports, des loisirs et du conditionnement physique"
41406.03,"Superviseurs/superviseures des programmes de sports, de loisirs et de conditionnement physique"
41407.00,Agents/agentes de programmes propres au gouvernement
41409.01,Anthropologues
41409.02,Archéologues
41409.03,Géographes
41409.04,Historiens/historiennes
41409.05,Linguistes
41409.06,Politologues
41409.07,Psychométriciens/psychométriciennes
41409.08,Sociologues
41409.09,Autres professionnels/professionnelles des sciences sociales
42100.00,Policiers/policières (sauf cadres supérieurs)
42101.00,Pompiers/pompières
42102.00,Membres spécialisés des Forces armées canadiennes
42200.01,Techniciens juridiques/techniciennes juridiques
42200.02,Techniciens juridiques indépendants/techniciennes juridiques indépendantes
42200.03,Notaires publics/notaires publiques
42200.04,Agents/agentes de marques de commerce
42200.05,Juges de paix
42201.00,Travailleurs/travailleuses des services sociaux et communautaires
42202.01,Éducateurs/éducatrices de la petite enfance
42202.02,Aides-éducateurs/aides-éducatrices de la petite enfance
42203.00,Instructeurs/instructrices pour personnes ayant une déficience
42204.00,Travailleurs/travailleuses de la religion
43100.00,Aides-enseignants/aides-enseignantes aux niveaux primaire et secondaire
43109.01,Instructeurs/instructrices de conduite automobile
43109.02,Examinateurs/examinatrices de permis de conduire
43109.03,Professeurs/professeures de couture
43109.04,Instructeurs/instructrices d'école de mannequins
43200.00,Shérifs et huissiers/huissières de justice
43201.00,Agents/agentes de services correctionnels
43202.01,Agents/agentes de contrôle des animaux
43202.02,Agents/agentes d'application des règlements municipaux
43202.03,Inspecteurs/inspectrices du transport commercial
43202.04,Inspecteurs/inspectrices de la collecte des ordures
43202.05,Inspecteurs/inspectrices de permis d'alcool
43202.06,Agents/agentes de surveillance du stationnement
43202.07,Inspecteurs/inspectrices de taxi
43202.08,Inspecteurs/inspectrices du zonage
43203.01,Agents/agentes de services frontaliers et des douanes
43203.02,Agents/agentes d'immigration
43204.00,Membres des opérations des Forces armées canadiennes
44100.01,Gardiens/gardiennes d'enfants en milieu familial
44100.02,Parents de famille d'accueil
44101.00,"Aides de maintien à domicile, aides familiaux/familiales et personnel assimilé"
44200.00,Combattants/combattantes de première ligne des Forces armées canadiennes
45100.01,Surveillants/surveillantes d'élèves
45100.02,Brigadiers/brigadières
50010.00,"Directeurs/directrices de bibliothèques, des archives, de musées et de galeries d'art"
50011.00,"Directeurs/directrices - édition, cinéma, radiotélédiffusion et arts de la scène"
50012.00,"Directeurs/directrices de programmes et de services de sports, de loisirs et de conditionnement physique"
51100.00,Bibliothécaires
51101.01,Restaurateurs/restauratrices
51101.02,Conservateurs/conservatrices
51102.00,Archivistes
51110.00,"Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles"
51111.01,"Romanciers, dramaturges, scénaristes, poètes et autres écrivains créatifs"
51111.02,Rédacteurs/rédactrices  (non technique)
51111.03,Concepteurs-rédacteurs publicitaires/conceptrices-rédactrices publicitaires
51112.00,Rédacteurs/rédactrices techniques
51113.00,Journalistes
