Code SIPeC - Final,Etiquette SIPeC - Final,Estimation des caracteristiques quantifiables,Obtention d'information,"Identification d'objets, d'actions et d'evenements","Inspection d'equipements, de structures ou de materiaux","Surveillance de processus, de materiels ou d'environnements",Controler des machines et des processus,Developper des instructions techniques,Taches administratives,Entretien electronique,Manipuler et deplacer des objets,Utiliser des ordinateurs,Gerer des ressources,Entretien mecanique,"Manoeuvrer des vehicules, appareils ou equipements mecaniques",Performer des activites physiques,Traiter de l'information,Analyser des donnees ou de l'information,Elaborer des objectifs et des strategies,Evaluer l'information pour verifier la conformite,Juger de la qualite,Prendre des decisions,Planifier et organiser,Etablissement du calendrier du travail et des activites,Pensee creative,Appliquer de nouvelles connaissances,Offrir du soutien et soins a d'autres personnes,Encadrer et former des personnes,Communiquer avec des gens de l'exterieur de l'organisation,Communiquer avec les collegues de travail,Coordonner le travail et les activites d'autres personnes,Etablir et maintenir des relations interpersonnelles,Interpreter l'information pour d'autres personnes,Executer  taches pour  public ou travailler directement,Fournir des conseils et avis,Resoudre des conflits et negocier avec d'autres personnes,Vendre ou influencer d'autres personnes,Mener des activites de dotation,Superviser des subalternes,Developper une equipe,Former et enseigner
13101,Agents/agentes de gestion immobilière,2,3,2,3,2,0,0,3,1,1,3,4,1,2,1,3,3,3,3,3,3,4,3,2,3,2,2,3,3,4,3,3,3,4,4,3,5,4,3,2
13102,Administrateurs/administratrices de la paye,2,3,2,1,2,0,0,3,0,0,3,2,0,0,0,4,3,2,4,2,2,3,2,2,2,2,1,2,2,2,3,2,1,2,2,0,1,1,1,1
13110,Adjoints administratifs/adjointes administratives,1,2,1,1,1,2,0,3,0,2,2,2,0,0,1,3,2,1,1,2,1,2,3,1,2,3,2,2,3,3,3,2,3,2,2,0,2,2,1,1
13111,Adjoints administratifs juridiques/adjointes administratives juridiques,0,3,2,0,2,0,0,3,0,0,3,2,0,0,0,3,2,2,3,2,1,3,3,0,2,2,2,3,3,3,3,2,2,2,2,0,0,1,1,1
13112,Adjoints administratifs médicaux/adjointes administratives médicales,1,2,2,1,2,0,0,3,0,0,3,2,0,0,0,3,2,1,2,1,2,2,3,0,2,3,2,3,3,3,2,2,3,2,2,0,1,1,1,1
13200.01,Courtiers/courtières en douanes,2,4,2,1,2,2,0,3,1,1,4,3,0,0,1,3,3,3,4,2,3,3,3,2,3,1,3,4,3,3,3,3,2,4,3,3,3,4,3,3
13200.02,Courtiers maritimes/courtières maritimes,2,4,2,1,3,2,0,3,1,1,4,3,0,0,1,3,3,3,4,3,3,3,3,2,3,1,3,4,3,3,3,3,2,4,3,3,3,4,3,3
13201.01,Coordonnateurs/coordonnatrices de la logistique de la production,3,3,2,2,3,2,1,3,0,2,3,3,0,1,2,3,3,3,3,2,3,4,4,3,2,1,3,2,3,4,3,2,2,3,4,3,2,3,3,2
13201.02,Coordonnateurs/coordonnatrices de la logistique du transport,2,3,2,2,3,2,1,3,1,2,3,3,2,2,2,3,3,3,3,2,3,3,4,2,2,1,4,2,3,4,3,2,2,3,4,3,3,4,3,3
14100.01,Employés de bureau – soutien général,1,2,1,1,1,2,0,2,1,2,2,1,0,0,1,2,2,1,2,1,1,2,2,1,0,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1
14100.02,Commis au classement,2,2,2,2,1,1,0,3,1,2,3,2,0,0,1,3,2,2,1,2,1,2,2,1,2,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1
14101.01,Réceptionnistes,1,2,2,1,2,2,0,3,1,1,2,1,0,0,1,3,1,1,1,1,0,2,2,1,2,3,1,3,2,1,3,2,5,1,1,0,1,1,2,1
14101.02,Employés à l'admission dans un hôpital,1,3,1,1,1,1,0,3,0,1,2,1,0,0,1,3,1,0,1,1,0,0,1,0,0,2,1,2,2,1,2,1,3,1,1,0,1,1,2,1
14101.03,Standardistes et téléphonistes au service des abonnés absents,1,1,2,0,2,2,0,2,1,1,2,1,0,0,1,2,1,0,1,0,1,1,1,0,1,2,1,4,2,1,2,1,3,1,2,0,1,1,2,1
14101.04,Téléphonistes,1,2,1,0,1,2,0,1,1,1,2,1,0,0,0,2,1,1,1,1,0,0,0,0,2,2,1,1,2,1,2,2,2,1,2,0,1,1,2,1
14102,Commis des services du personnel,2,3,3,1,2,1,0,3,0,1,3,3,0,0,1,3,3,1,2,3,1,3,3,1,2,2,2,3,3,2,3,3,3,2,3,2,4,2,2,2
14103,Commis des services judiciaires et autres professions des services judiciaires,2,3,2,1,3,1,0,4,0,1,3,2,0,0,1,4,2,2,3,1,2,3,1,0,2,2,1,3,2,1,2,2,3,1,2,0,1,1,1,1
14110.01,Intervieweurs/intervieweuses pour enquêtes,1,3,2,1,2,0,0,3,0,1,2,1,0,0,1,3,1,1,2,1,1,2,2,1,1,1,1,3,3,1,2,3,3,1,1,0,0,1,2,1
14110.02,Commis aux statistiques,2,3,2,1,2,1,0,3,0,0,4,1,0,0,0,3,3,2,2,1,2,2,2,2,3,1,2,1,3,1,1,3,1,2,2,0,1,1,2,1
14111,Commis à la saisie de données,1,2,2,1,2,1,0,4,1,1,3,2,0,0,1,4,2,1,2,2,1,1,1,0,2,1,1,1,2,1,2,1,0,1,1,0,0,0,1,1
14112.01,Opérateurs/opératrices d'équipement d'éditique,2,3,2,1,2,2,3,2,2,1,4,3,0,0,1,3,2,2,3,3,3,3,3,3,3,1,1,3,3,2,2,3,3,3,2,2,2,1,2,1
14112.02,Préposés à la saisie et la sortie des données (composition),2,2,1,2,3,2,3,2,1,1,4,2,1,0,1,2,2,2,2,1,3,3,3,2,3,1,1,2,2,3,2,2,1,2,2,1,2,1,2,1
14200,Commis à la comptabilité et personnel assimilé,1,2,2,1,2,1,0,3,0,1,3,2,0,0,1,3,2,2,3,1,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1,1,1,2,1
14201.01,Commis de banque,2,3,3,1,2,1,0,3,0,1,4,2,0,0,2,3,3,2,3,2,2,2,2,2,2,2,1,3,3,1,3,3,3,2,3,2,1,1,2,1
