Code,Nom,Type de Structure,Categorie,Description
A03c03,"Mouvement des doigts, mains et poignets",Descripteur,Habiletés,"L’habileté de faire des mouvements rapides, simples et répétés des doigts, des mains et des poignets. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A04,Habiletés sensorielles,Sous-Categorie,Habiletés,"Habiletés nécessaires pour effectuer des activités qui nécessitent une perception visuelle, auditive, tactile, olfactive ou vocale."
A04a,Habiletés auditives et verbales,Groupe de similitudes,Habiletés,
A04a01,Concentration auditive,Descripteur,Habiletés,L’habileté à accorder toute son attention à une seule source sonore en présence d’autres sons distrayants. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A04a02,Sensibilité auditive,Descripteur,Habiletés,L’habileté de détecter ou de distinguer les différences entre des sons en termes de ton et de volume. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A04a03,Clarté du langage,Descripteur,Habiletés,L’habileté d’articuler et de prononcer clairement les mots afin que les autres puissent vous comprendre lorsque vous parlez. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A04a04,Reconnaissance de la parole,Descripteur,Habiletés,L’habileté de reconnaître la voix et de comprendre le discours d’une autre personne. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A04a05,Localisation de sources sonores,Descripteur,Habiletés,"L’habileté d’identifier la direction, l’origine et la distance d’où provient un son. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A04b,Habiletés visuelles,Groupe de similitudes,Habiletés,
A04b01,Vision de loin,Descripteur,Habiletés,L’habileté de voir les détails d'objets et de personnes à distance. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A04b02,Vision de près,Descripteur,Habiletés,L’habileté de voir les détails à courte distance. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A04b03,Vision périphérique,Descripteur,Habiletés,"L’habileté de voir des objets, des personnes ou leurs mouvements dans le champ de vision périphérique lorsque l’on regarde devant soi. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A04b04,Perception de la profondeur,Descripteur,Habiletés,L’habileté de discerner parmi plusieurs objets lequel est le plus près ou le plus éloigné de soi ou d’estimer la distance entre un objet et soi-même. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A04b05,Tolérance aux éblouissements,Descripteur,Habiletés,L’habileté de voir des objets ou des personnes en présence d'une lumière éblouissante ou d'un éclairage intense. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A04b06,Vision nocturne,Descripteur,Habiletés,L’habileté de voir dans des conditions de faible luminosité. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A04c,Autres habiletés sensorielles,Groupe de similitudes,Habiletés,
A04c01,Perception des couleurs,Descripteur,Habiletés,"L’habileté de faire correspondre ou de repérer les différences ou similarités entre les couleurs, y compris les nuances de couleur et leur éclat. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A04c02,Odorat,Descripteur,Habiletés,L’habileté de percevoir les odeurs par le nez. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A04c03,Goûter,Descripteur,Habiletés,L’habileté de reconnaître ou de vérifier une saveur particulière d'une substance en la goûtant. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A04c04,Toucher,Descripteur,Habiletés,L’habileté d’acquérir par contact cutané direct des informations sur l’environnement. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
B,Attributs personnels,Catégorie,Attributs personnels,Caractéristiques personnelles innées et développées par l'entremise du contexte social et des expériences personnelles auxquelles l'individu est exposé. Ces qualités influencent la façon d'être et de faire et sont considérées comme des plus-values pour la performance au travail.
B01,Traits sociaux,Sous-Categorie,Attributs personnels,Les caractéristiques personnelles liées aux attitudes positives que l'on a envers les autres et qui mènent le plus souvent à de bonnes relations.
B01a,Influence sociale,Groupe de similitudes,Attributs personnels,
B01a01,Leadership,Descripteur,Attributs personnels,"La qualité de mener d’autres personnes vers l’atteinte d'un but commun en les guidant, les influençant et les inspirant. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
B01a02,Charisme,Descripteur,Attributs personnels,"La qualité de posséder du charme, d’attirer et de susciter l’intérêt, l’attention ou l’admiration des autres par ses discours, son attitude, son tempérament ou ses actions. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B01b,Orientation interpersonnelle,Groupe de similitudes,Attributs personnels,
B01b01,Préoccupation des autres,Descripteur,Attributs personnels,La qualité d’être empathique aux sentiments et besoins des autres et d'être compréhensif et serviable. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B01b02,Collaboration,Descripteur,Attributs personnels,La qualité de contribuer et de travailler en coopération tout en étant solidaire et inclusif à l'endroit des autres pour atteindre un objectif commun. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B01b03,Orientation axée sur le service,Descripteur,Attributs personnels,"La qualité de rechercher activement des moyens pour aider, servir ou assister les autres. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B01b04,Confiance envers les autres,Descripteur,Attributs personnels,La qualité d’établir et de maintenir une relation de confiance avec les gens qui composent son entourage. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B01b05,Orientation sociale,Descripteur,Attributs personnels,La qualité de chercher à travailler avec les autres et être en relation avec eux dans le travail. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B02,Amélioration de soi,Sous-Categorie,Attributs personnels,"Les caractéristiques personnelles liées à l'amélioration de ses connaissances, de son statut ou de son caractère par ses propres efforts."
B02a,Réglage,Groupe de similitudes,Attributs personnels,
B02a01,Adaptabilité,Descripteur,Attributs personnels,La qualité de s'adapter à des changements attendus ou inattendus et à des situations différentes tout en continuant à atteindre des objectifs passés ou renouvelés. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5.
B02a02,Maîtrise de soi,Descripteur,Attributs personnels,"La qualité de garder son sang-froid, de maîtriser ses émotions et sa colère, et d'éviter un comportement agressif, même dans des situations très difficiles. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B02a03,Tolérance au stress,Descripteur,Attributs personnels,"La qualité d’être capable de rester calme, sans se laisser emporter par des situations stressantes et de gérer efficacement lesdites situations. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B02a04,Tolérance à l’ambiguïté,Descripteur,Attributs personnels,"La qualité d’être capable de fonctionner dans un environnement où il y a de l’incertitude, de l’imprévisibilité, des directions conflictuelles ou des demandes multiples et d’aborder ces situations comme étant des défis pour se surpasser. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B02a05,Résilience,Descripteur,Attributs personnels,"La qualité de se remettre des difficultés ou changements auxquels on a dû faire face, de rebondir et d’aller de l’avant. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B02b,Orientation auto-réflexive,Groupe de similitudes,Attributs personnels,
B02b01,Connaissance de soi,Descripteur,Attributs personnels,"La qualité de connaître sa personnalité, son caractère et ses sentiments, y compris ses forces, faiblesses, pensées, croyances, comportements, motivations et émotions. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B02b02,Confiance en soi,Descripteur,Attributs personnels,"La qualité d'avoir confiance en sa capacité à atteindre ses objectifs, à croire en son potentiel et ses capacités, et à se savoir capable d'atteindre ses objectifs face aux défis. Ce descripteur est mesuré par Importance sur une échelle de 1 à 5."
B02c,Orientation de l'apprentissage,Groupe de similitudes,Attributs personnels,
