OaSIS profile code,Employment requirement
14101.04,Completion of secondary school is usually required.
14101.04,On-the-job training may be provided.
14102.00,Completion of secondary school is usually required.
14102.00,Completion of college or other courses in personnel administration may be required.
14102.00,Some clerical experience may be required.
14103.00,Completion of secondary school is required.
14103.00,"On-the-job training is provided for court officers, court clerks, and court liaison officers."
14103.00,Special Constable Certification may be required for court officers and court liaison officers.
14103.00,Court clerks and court officers may require a 1-2 year post-secondary diploma in office administration or equivalent.
14103.00,"Court administrators usually require a 1-2 year post-secondary diploma, or may require a university degree in law, business administration, judicial administration, or related field."
14103.00,Some experience as a court clerks may be required for Court administrators.
14103.00,"Experience in clerical services, administration and management, and personnel information systems may be required for court administrators."
14110.01,Completion of secondary school may be required.
14110.01,Experience in the operation of a computer may be required.
14110.01,May require driver's licence.
14110.02,Completion of secondary school may be required.
14110.02,On-the-job training is usually provided.
14111.00,Completion of secondary school may be required.
14111.00,College or other courses in data entry may be required.
14112.01,Completion of secondary school is required.
14112.01,"Completion of a college program in graphic arts, or other training in typography, computer typesetting or desktop publishing, is usually required."
14112.02,Completion of secondary school is required.
14112.02,"Completion of a college program in graphic arts, or other training in typography, computer typesetting or desktop publishing, is usually required."
14200.00,Completion of secondary school is usually required.
14200.00,"Completion of college or other courses certified by the Certified General Accountants Association of Canada, Canadian Securities Institute or Canadian Bookkeepers Association may be required."
14200.00,Some accounting clerks must be bondable.
14201.01,Completion of secondary school is required.
14201.01,A business college diploma may be required.
14201.01,On-the-job training and short-term training courses or programs specific to the financial establishment are usually required.
14201.02,Completion of secondary school is required.
14201.02,A business college diploma may be required.
14201.02,On-the-job training and short-term training courses or programs specific to the financial establishment are usually required.
14201.03,Completion of secondary school is required.
14201.03,A business college diploma may be required.
14201.03,On-the-job training and short-term training courses or programs specific to the financial establishment are usually required.
14202.00,Completion of secondary school is required.
14202.00,A business college diploma may be required.
14202.00,A period of on-the-job training is often provided for collection clerks and collection officers.
14202.00,A collections licence issued by the province or territory of employment is usually required.
14300.00,Completion of secondary school is usually required.
14301.01,Completion of secondary school is required.
14301.01,"Additional courses or a diploma in writing, journalism or a related field may be required."
14301.01,Previous clerical or administrative experience may be required.
14301.02,Completion of secondary school is required.
14301.02,"Additional courses or a diploma in writing, journalism or a related field may be required."
14301.02,Previous clerical or administrative experience may be required.
14301.03,Completion of secondary school is required.
14301.03,"Additional courses or a diploma in writing, journalism or a related field may be required."
14301.04,Completion of secondary school is required.
14301.04,"Additional courses or a diploma in writing, journalism or a related field may be required."
14301.05,Completion of secondary school is required.
14301.05,Previous clerical or administrative experience may be required.
14400.00,Completion of secondary school is usually required.
14400.00,Experience in a related clerical occupation or as a warehouse worker may be required.
14400.00,A forklift certificate may be required.
14400.00,A driver's licence may be required.
14401.00,Completion of secondary school is usually required.
14401.00,Completion of a three-year apprenticeship program orcompletion of specialized training in high school and a one-year college program for partspersons may be required.
14401.00,"Trade certification for partspersons is available, but voluntary, in all provinces and territories."
14401.00,"Experience in a related clerical occupation, or as a warehouse worker, may be required for partspersons."
14401.00,Red Seal endorsement is also available to qualified partspersons upon successful completion of the interprovincial Red Seal examination.
14402.00,Completion of secondary school is usually required.
14403.01,Completion of secondary school is usually required.
14403.01,Courses in purchasing management may be required for purchasing control workers.
14403.02,Completion of secondary school is usually required.
