Code de profil professionnel SIPeC,Lieux de travail/employeurs,Nom du profil professionnel SIPeC
72103.00,Chantiers navals,Chaudronniers/chaudronnières
72104.00,Usines de fabrication de chaudières,Assembleurs/assembleuses et ajusteurs/ajusteuses de plaques et de charpentes métalliques
72104.00,Usines de fabrication de machinerie lourde,Assembleurs/assembleuses et ajusteurs/ajusteuses de plaques et de charpentes métalliques
72104.00,Ateliers de fabrication de plaques,Assembleurs/assembleuses et ajusteurs/ajusteuses de plaques et de charpentes métalliques
72104.00,Chantiers navals,Assembleurs/assembleuses et ajusteurs/ajusteuses de plaques et de charpentes métalliques
72104.00,Ateliers de fabrication d'acier de charpente,Assembleurs/assembleuses et ajusteurs/ajusteuses de plaques et de charpentes métalliques
72105.00,Entrepreneurs en construction de charpentes métalliques,Monteurs/monteuses de charpentes métalliques
72106.01,"Entreprises qui fabriquent des éléments de charpente en acier et en tôlerie, des chaudières, de la machinerie lourde, des avions, des bateaux et d’autres produits métalliques",Soudeurs/soudeuses
72106.01,Travailleurs autonomes,Soudeurs/soudeuses
72106.01,Entrepreneurs en soudure,Soudeurs/soudeuses
72106.01,Ateliers de soudure,Soudeurs/soudeuses
72106.02,"Entreprises qui fabriquent des éléments de charpente en acier et en tôlerie, des chaudières, de la machinerie lourde, des avions, des bateaux et d’autres produits métalliques",Opérateurs/opératrices de machines à souder et à braser
72106.02,Travailleurs autonomes,Opérateurs/opératrices de machines à souder et à braser
72106.02,Entrepreneurs en soudure,Opérateurs/opératrices de machines à souder et à braser
72106.02,Ateliers de soudure,Opérateurs/opératrices de machines à souder et à braser
72200.00,Entrepreneurs en électricité,Électriciens/électriciennes (sauf électriciens industriels/électriciennes industrielles et de réseaux électriques)
72200.00,Services d’entretien dans des bâtiments et autres établissements,Électriciens/électriciennes (sauf électriciens industriels/électriciennes industrielles et de réseaux électriques)
72200.00,Travailleurs autonomes,Électriciens/électriciennes (sauf électriciens industriels/électriciennes industrielles et de réseaux électriques)
72201.00,Entrepreneurs en électricité,Électriciens industriels/électriciennes industrielles
72201.00,"Services d’entretien d’usines, d’exploitation minières, de chantiers navals et d’autres établissements industriels",Électriciens industriels/électriciennes industrielles
72202.00,"Entreprises de production, de transmission et de distribution d'électricité",Électriciens/électriciennes de réseaux électriques
72203.00,"Entreprises de production, de transmission et de distribution d'électricité",Monteurs/monteuses de lignes électriques et de câbles
72203.00,Entrepreneurs en électricité,Monteurs/monteuses de lignes électriques et de câbles
72203.00,Services d'utilité publique,Monteurs/monteuses de lignes électriques et de câbles
72204.00,Compagnies de télédistribution,Installateurs/installatrices et réparateurs/réparatrices de lignes et de câbles de télécommunications
72204.00,Services téléphoniques et autres services de transmission par télécommunications,Installateurs/installatrices et réparateurs/réparatrices de lignes et de câbles de télécommunications
72205.01,Services téléphoniques et autres services de transmission par télécommunications,Installateurs/installatrices et réparateurs/réparatrices de téléphones
72205.02,Services téléphoniques et autres services de transmission par télécommunications,Installateurs/installatrices et réparateurs/réparatrices de réseaux commutés
72205.03,Services téléphoniques et autres services de transmission par télécommunications,Vérificateurs/vérificatrices de services de télécommunications
72205.04,Services téléphoniques et autres services de transmission par télécommunications,Techniciens/techniciennes en matériel de télécommunications
72205.05,Compagnies de câblodistribution et de télévision par satellite,Techniciens/techniciennes en montage d'installations de câblodistribution
72300.00,Services d’entretien de diverses usines et autres établissements,Plombiers/plombières
72300.00,Entrepreneurs en plomberie,Plombiers/plombières
72300.00,Travailleurs autonomes,Plombiers/plombières
72301.01,Services d’entretien de diverses usines et autres établissements,Tuyauteurs/tuyauteuses et monteurs/monteuses d'appareils de chauffage
72301.01,Entrepreneurs d'appareils de chauffage,Tuyauteurs/tuyauteuses et monteurs/monteuses d'appareils de chauffage
72301.01,Travailleurs autonomes,Tuyauteurs/tuyauteuses et monteurs/monteuses d'appareils de chauffage
72301.02,Services d’entretien de diverses usines et autres établissements,Poseurs/poseuses de gicleurs
72301.02,Travailleurs autonomes,Poseurs/poseuses de gicleurs
72301.02,Entrepreneurs de réseau d'extincteurs automatiques,Poseurs/poseuses de gicleurs
72302.00,Établissements de distribution de gaz,Monteurs/monteuses d'installations au gaz
72302.00,Compagnies publiques de distribution de gaz,Monteurs/monteuses d'installations au gaz
72310.00,Entreprises de charpenterie,Charpentiers-menuisiers/charpentières-menuisières
72310.00,Compagnies de construction,Charpentiers-menuisiers/charpentières-menuisières
72310.00,Services d’entretien dans des bâtiments et autres établissements,Charpentiers-menuisiers/charpentières-menuisières
72310.00,Travailleurs autonomes,Charpentiers-menuisiers/charpentières-menuisières
72311.00,Entrepreneurs en ébénisterie,Ébénistes
72311.00,Compagnies de construction,Ébénistes
72311.00,Usines de fabrication ou de réparation de meubles,Ébénistes
72311.00,Travailleurs autonomes,Ébénistes
72320.00,Entrepreneurs en maçonnerie,Briqueteurs-maçons/briqueteuses-maçonnes
72320.00,Compagnies de construction,Briqueteurs-maçons/briqueteuses-maçonnes
72320.00,Travailleurs autonomes,Briqueteurs-maçons/briqueteuses-maçonnes
72321.00,Compagnies de construction,Calorifugeurs/calorifugeuses
72321.00,Entreprises de calorifugeage,Calorifugeurs/calorifugeuses
72321.00,Travailleurs autonomes,Calorifugeurs/calorifugeuses
72400.01,Établissements industriels,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles
72400.01,Établissement industriels,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles
72400.01,Chantiers de construction,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles
72400.01,Services d'utilité publique,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles
72400.02,Filatures du textile,Mécaniciens/mécaniciennes et monteurs/monteuses de machines dans l'industrie du textile
72401.00,Entreprises propriétaires d'équipement lourd,Mécaniciens/mécaniciennes d'équipement lourd
72401.00,Concessionnaires d'appareils lourds,Mécaniciens/mécaniciennes d'équipement lourd
72401.00,Entreprises de location et de réparation d'appareils lourds,Mécaniciens/mécaniciennes d'équipement lourd
72401.00,Compagnies de transport ferroviaire,Mécaniciens/mécaniciennes d'équipement lourd
72401.00,Compagnies de transport urbain en commun,Mécaniciens/mécaniciennes d'équipement lourd
72402.00,Firmes d'ingénieurs,"Mécaniciens/mécaniciennes en chauffage, réfrigération et climatisation"
72402.00,Grossistes alimentaire,"Mécaniciens/mécaniciennes en chauffage, réfrigération et climatisation"
72402.00,"Entrepreneurs en chauffage, réfrigération et climatisation","Mécaniciens/mécaniciennes en chauffage, réfrigération et climatisation"
72402.00,Établissements industriels,"Mécaniciens/mécaniciennes en chauffage, réfrigération et climatisation"
72402.00,Entreprises de détail qui assurent la vente et l'entretien de ces systèmes,"Mécaniciens/mécaniciennes en chauffage, réfrigération et climatisation"
72403.00,Compagnies de transport ferroviaire,Réparateurs/réparatrices de wagons
72403.00,Compagnies de transport urbain en commun,Réparateurs/réparatrices de wagons
72404.01,"Entreprises de fabrication, d'entretien, de réparation ou de révision d'aéronefs",Mécaniciens/mécaniciennes d'aéronefs
72404.01,Opérateurs d'aéronefs,Mécaniciens/mécaniciennes d'aéronefs
72404.01,Lignes aériennes,Mécaniciens/mécaniciennes d'aéronefs
72404.02,"Entreprises de fabrication, d'entretien, de réparation ou de révision d'aéronefs",Contrôleurs/contrôleuses d'aéronefs
72404.02,Opérateurs d'aéronefs,Contrôleurs/contrôleuses d'aéronefs
72404.02,Lignes aériennes,Contrôleurs/contrôleuses d'aéronefs
72405.00,Entreprises de fabrication de machinerie industrielle,Ajusteurs/ajusteuses de machines
72405.00,Usines de fabrication de matériel de transport,Ajusteurs/ajusteuses de machines
72406.00,Entreprises de construction et d'entretien d'ascenseurs,Constructeurs/constructrices et mécaniciens/mécaniciennes d'ascenseurs
72410.01,Commerces d'entretien d’automobile des établissements de vente au détail,Mécaniciens/mécaniciennes de véhicules automobiles
72410.01,Commerces spécialiés dans l'automobile,Mécaniciens/mécaniciennes de véhicules automobiles
72410.01,Garages,Mécaniciens/mécaniciennes de véhicules automobiles
72410.01,Concessionnaires d'automobiles,Mécaniciens/mécaniciennes de véhicules automobiles
72410.01,Stations-service,Mécaniciens/mécaniciennes de véhicules automobiles
72410.01,Entreprises de transport,Mécaniciens/mécaniciennes de véhicules automobiles
72410.02,Entreprises de fabrication de véhicules,Réparateurs/réparatrices de véhicules automobiles
72410.03,Compagnies d'entretien de flotte,Mécaniciens/mécaniciennes de camions et de remorques
72410.03,Services de réparation,Mécaniciens/mécaniciennes de camions et de remorques
72410.03,Entreprises de transport,Mécaniciens/mécaniciennes de camions et de remorques
72410.03,Concessionnaires de camions et de remorques,Mécaniciens/mécaniciennes de camions et de remorques
72411.00,Centres d'estimations des dommages de véhicules automobiles,"Techniciens/techniciennes en collision, en carrosserie, en peinture et en glace de véhicule automobile et estimateurs/estimatrices de dommages"
72411.00,Ateliers de carrosserie,"Techniciens/techniciennes en collision, en carrosserie, en peinture et en glace de véhicule automobile et estimateurs/estimatrices de dommages"
72411.00,Concessionnaires d'automobiles,"Techniciens/techniciennes en collision, en carrosserie, en peinture et en glace de véhicule automobile et estimateurs/estimatrices de dommages"
72411.00,Usines de fabrication  de véhicules automobiles,"Techniciens/techniciennes en collision, en carrosserie, en peinture et en glace de véhicule automobile et estimateurs/estimatrices de dommages"
72420.00,Compagnies de service et d'installation de systèmes de chauffage,Installateurs/installatrices de brûleurs à l'huile et à combustibles solides
72421.01,Compagnies d'entretien d'appareils,Réparateurs/réparatrices de petits appareils électroménagers
72421.01,Services de réparation d'entreprises de détail ou de gros,Réparateurs/réparatrices de petits appareils électroménagers
72421.01,Services de réparation,Réparateurs/réparatrices de petits appareils électroménagers
72421.01,Travailleurs autonomes,Réparateurs/réparatrices de petits appareils électroménagers
72421.02,Compagnies d'entretien d'appareils,Réparateurs/réparatrices de gros appareils électroménagers
72421.02,Services de réparation d'entreprises de détail ou de gros,Réparateurs/réparatrices de gros appareils électroménagers
72421.02,Services de réparation,Réparateurs/réparatrices de gros appareils électroménagers
72421.02,Travailleurs autonomes,Réparateurs/réparatrices de gros appareils électroménagers
72422.00,Ateliers indépendants de réparation électrique,Électromécaniciens/électromécaniciennes
72422.00,Services de réparation d’entreprises de détail ou de gros,Électromécaniciens/électromécaniciennes
72422.00,Ateliers d'entretien d'entreprises de fabrication d'équipement électrique,Électromécaniciens/électromécaniciennes
72423.01,Compagnies de soutien indépendantes,"Mécaniciens/mécaniciennes de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé"
72423.01,Ateliers de réparation des distributeurs de motocyclettes et vente au détail,"Mécaniciens/mécaniciennes de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé"
72423.02,Ateliers de réparation de véhicules récréatifs,Technicien/technicienne de véhicules récréatifs
72423.02,Travailleurs autonomes,Technicien/technicienne de véhicules récréatifs
72429.00,Entreprises de service,Autres réparateurs/réparatrices de petits moteurs et de petits équipements
72429.00,Compagnies de soutien indépendantes,Autres réparateurs/réparatrices de petits moteurs et de petits équipements
72500.00,Compagnies de manutention de fret,Grutiers/grutières
72500.00,Compagnies de construction,Grutiers/grutières
72500.00,Établissements industriels,Grutiers/grutières
72500.00,Compagnies minières,Grutiers/grutières
72500.00,Compagnies ferroviaires,Grutiers/grutières
72501.00,Gouvernements,Foreurs/foreuses de puits d'eau
72501.00,Travailleurs autonomes,Foreurs/foreuses de puits d'eau
72501.00,Entrepreneurs en forage de puits d'eau,Foreurs/foreuses de puits d'eau
72600.01,Compagnies aériennes et de fret aérien,Pilotes aériens
72600.01,Écoles de pilotage,Pilotes aériens
72600.01,Opérateurs d'aéronefs du secteur privé et public,Pilotes aériens
72600.02,Compagnies aériennes et de fret aérien,Mécaniciens de bord
72600.02,Écoles de pilotage,Mécaniciens de bord
72600.02,Opérateurs d'aéronefs du secteur privé et public,Mécaniciens de bord
72600.03,Compagnies aériennes et de fret aérien,Instructeurs/instructrices de vol
72600.03,Écoles de pilotage,Instructeurs/instructrices de vol
72600.03,Opérateurs d'aéronefs du secteur privé et public,Instructeurs/instructrices de vol
72601.01,Forces canadiennes,Contrôleurs/contrôleuses de la circulation aérienne
72601.01,NAV Canada,Contrôleurs/contrôleuses de la circulation aérienne
72601.02,Compagnies de services aéroportuaires,Agents/agentes de régulation des vols
72601.02,Forces canadiennes,Agents/agentes de régulation des vols
72601.03,Forces canadiennes,Spécialistes de l'information de vol
72601.03,NAV Canada,Spécialistes de l'information de vol
72602.00,Services gouvernementaux fédéraux,Officiers/officières de pont du transport par voies navigables
72602.00,Compagnies de transport maritime,Officiers/officières de pont du transport par voies navigables
72603.00,Services gouvernementaux fédéraux,Officiers mécaniciens/officières mécaniciennes du transport par voies navigables
72603.00,Compagnies de transport maritime,Officiers mécaniciens/officières mécaniciennes du transport par voies navigables
72604.01,Compagnies de transport ferroviaire,Contrôleurs/contrôleuses de la circulation ferroviaire
72604.02,Garde côtière canadienne,Régulateurs/régulatrices de la circulation maritime
72604.02,Autorités responsables des canaux et des écluses,Régulateurs/régulatrices de la circulation maritime
72604.02,Installations portuaires,Régulateurs/régulatrices de la circulation maritime
72999.01,Établissements de fabrication et de réparation d'armes à feu,Armuriers/armurières
72999.01,Travailleurs autonomes,Armuriers/armurières
72999.02,Serrureries,Serruriers/serrurières
72999.02,Travailleurs autonomes,Serruriers/serrurières
72999.03,Ateliers de service après-vente de coffres-forts et de chambres fortes,Installateurs-réparateurs/installatrices-réparatrices de coffres-forts et de chambres fortes
72999.03,Travailleurs autonomes,Installateurs-réparateurs/installatrices-réparatrices de coffres-forts et de chambres fortes
72999.04,Ateliers de réparation de scies,Ajusteurs/ajusteuses de scies
72999.04,Travailleurs autonomes,Ajusteurs/ajusteuses de scies
72999.05,Usines de fabrication de produits métallurgiques ouvrés,Monteurs/monteuses de matrices
72999.05,Usines de fabrication de matériel de transport,Monteurs/monteuses de matrices
72999.06,Entreprises de plongée professionnelle,Scaphandriers/scaphandrières
72999.06,Sociétés pétrolières et gazières qui ont des installations en haute mer,Scaphandriers/scaphandrières
72999.06,Compagnies de transport et de construction maritimes,Scaphandriers/scaphandrières
73100.00,Entrepreneurs cimentiers,Finisseurs/finisseuses de béton
73100.00,Compagnies de construction,Finisseurs/finisseuses de béton
73100.00,Fabricants de produits préfabriqués en béton,Finisseurs/finisseuses de béton
73100.00,Travailleurs autonomes,Finisseurs/finisseuses de béton
73101.00,Compagnies de construction,Carreleurs/carreleuses
73101.00,Entrepreneurs en carreaux,Carreleurs/carreleuses
73101.00,Travailleurs autonomes,Carreleurs/carreleuses
73102.01,Compagnies de construction,Plâtriers/plâtrières
73102.01,Entrepreneurs plâtriers,Plâtriers/plâtrières
73102.01,Travailleurs autonomes,Plâtriers/plâtrières
73102.02,Compagnies de construction,Poseurs/poseuses de systèmes intérieurs
73102.02,Entrepreneurs plâtriers,Poseurs/poseuses de systèmes intérieurs
73102.02,Travailleurs autonomes,Poseurs/poseuses de systèmes intérieurs
73102.03,Compagnies de construction,Latteurs/latteuses
73102.03,Entrepreneurs plâtriers,Latteurs/latteuses
73102.03,Travailleurs autonomes,Latteurs/latteuses
73110.01,Entrepreneurs généraux,Couvreurs/couvreuses
73110.01,Entrepreneurs en toitures,Couvreurs/couvreuses
73110.01,Travailleurs autonomes,Couvreurs/couvreuses
73110.02,Entrepreneurs généraux,Poseurs/poseuses de bardeaux
73110.02,Entrepreneurs en toitures,Poseurs/poseuses de bardeaux
73110.02,Travailleurs autonomes,Poseurs/poseuses de bardeaux
73111.00,Entrepreneurs en installation de produits en verre,Vitriers/vitrières
73111.00,Ateliers de fabrication de produits en verre,Vitriers/vitrières
73111.00,Ateliers de réparation et d'entretien,Vitriers/vitrières
73111.00,Travailleurs autonomes,Vitriers/vitrières
73112.00,Entrepreneurs en gestion de bâtiments,Peintres et décorateurs/décoratrices (sauf décorateurs/décoratrices d'intérieur)
73112.00,Compagnies de construction,Peintres et décorateurs/décoratrices (sauf décorateurs/décoratrices d'intérieur)
73112.00,Entrepreneurs de peinture,Peintres et décorateurs/décoratrices (sauf décorateurs/décoratrices d'intérieur)
73112.00,Travail autonome,Peintres et décorateurs/décoratrices (sauf décorateurs/décoratrices d'intérieur)
73113.00,Points de vente de tapis,Poseurs/poseuses de revêtements d'intérieur
73113.00,Compagnies de construction,Poseurs/poseuses de revêtements d'intérieur
73113.00,Entrepreneurs en revêtement de sol,Poseurs/poseuses de revêtements d'intérieur
73113.00,Travailleurs autonomes,Poseurs/poseuses de revêtements d'intérieur
73200.00,Entreprises spécialisées dans l'installation et l'entretien de produits spécifiques,"Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial"
73201.00,Entreprises de gestion d'immeubles,Préposés à l’entretien général et surintendants/surintendantes
73201.00,Sociétés d'immeuble en copropriété,Préposés à l’entretien général et surintendants/surintendantes
73201.00,Institutions d'enseignement,Préposés à l’entretien général et surintendants/surintendantes
73201.00,Établissements de soins de santé,Préposés à l’entretien général et surintendants/surintendantes
73201.00,Établissements industriels,Préposés à l’entretien général et surintendants/surintendantes
73201.00,Autres établissements,Préposés à l’entretien général et surintendants/surintendantes
73201.00,Installations de loisirs,Préposés à l’entretien général et surintendants/surintendantes
73201.00,Établissements religieux,Préposés à l’entretien général et surintendants/surintendantes
73201.00,Centres commerciaux,Préposés à l’entretien général et surintendants/surintendantes
73202.00,Compagnies de contrôle de la vermine,Fumigateurs/fumigatrices et préposés/préposées au contrôle de la vermine
73202.00,Travailleurs autonomes,Fumigateurs/fumigatrices et préposés/préposées au contrôle de la vermine
73209.00,Ateliers spécialisées en réparation,Autres réparateurs/réparatrices et préposés/préposées à l'entretien
73209.00,Établissements de services,Autres réparateurs/réparatrices et préposés/préposées à l'entretien
73300.01,Agences de services de placement,Conducteurs/conductrices de camions sur longue distance
73300.01,Entreprises de frabrication et de distribution,Conducteurs/conductrices de camions sur longue distance
73300.01,Entreprises de déménagement,Conducteurs/conductrices de camions sur longue distance
73300.01,Travailleurs autonomes,Conducteurs/conductrices de camions sur longue distance
73300.01,Entreprises de transport,Conducteurs/conductrices de camions sur longue distance
73300.02,Agences de services de placement,Conducteurs routiers/conductrices routières et conducteurs/conductrices de camions locaux
73300.02,Entreprises de frabrication et de distribution,Conducteurs routiers/conductrices routières et conducteurs/conductrices de camions locaux
73300.02,Entreprises de déménagement,Conducteurs routiers/conductrices routières et conducteurs/conductrices de camions locaux
73300.02,Travailleurs autonomes,Conducteurs routiers/conductrices routières et conducteurs/conductrices de camions locaux
73300.02,Entreprises de transport,Conducteurs routiers/conductrices routières et conducteurs/conductrices de camions locaux
73301.01,Entreprises de transport privées,Conducteurs/conductrices d'autobus et de tramways
73301.01,Sociétés de transport,Conducteurs/conductrices d'autobus et de tramways
73301.01,Compagnies de transport urbain en commun,Conducteurs/conductrices d'autobus et de tramways
73301.02,Entreprises de transport privées,Conducteurs/conductrices d'autobus scolaires
73301.02,Conseils ou commissions scolaires,Conducteurs/conductrices d'autobus scolaires
73301.03,Compagnies de transport urbain en commun,Opérateurs/opératrices de métro et de systèmes légers sur rail
73310.01,Compagnies de transport ferroviaire,Mécaniciens/mécaniciennes de locomotive
73310.02,Usagers industriels et commerciaux du transport ferroviaire,Mécaniciens/mécaniciennes de locomotive de cour de triage
73310.02,Compagnies de transport ferroviaire,Mécaniciens/mécaniciennes de locomotive de cour de triage
73311.01,Compagnies de transport ferroviaire,Chefs de train
73311.02,Compagnies de transport ferroviaire,Serre-freins
73400.00,Compagnies de construction,Conducteurs/conductrices d'équipement lourd
73400.00,Entrepreneurs d'équipement lourd,Conducteurs/conductrices d'équipement lourd
73400.00,"Compagnies forestières, d'exploitation de pipelines et de manutention de cargaisons",Conducteurs/conductrices d'équipement lourd
73400.00,Services de travaux publics,Conducteurs/conductrices d'équipement lourd
73401.00,Imprimeries commerciales,Opérateurs/opératrices de presses à imprimer
73401.00,Services d'imprimerie d'établissements des secteurs privé et public,Opérateurs/opératrices de presses à imprimer
73401.00,Maisons d'édition et d'imprimerie,Opérateurs/opératrices de presses à imprimer
73402.01,Entrepreneurs en forage et dynamitage,"Foreurs/foreuses de mines à ciel ouvert, de carrières et de chantiers de construction"
73402.01,Entreprises d'exploitation de mines et de carrières et de construction,"Foreurs/foreuses de mines à ciel ouvert, de carrières et de chantiers de construction"
73402.02,Entrepreneurs en forage et dynamitage,"Dynamiteurs/dynamiteuses de mines à ciel ouvert, de carrières et de chantiers de construction"
73402.02,Entreprises d'exploitation de mines et de carrières et de construction,"Dynamiteurs/dynamiteuses de mines à ciel ouvert, de carrières et de chantiers de construction"
74100.01,Société canadienne des postes,Trieurs/trieuses de courrier
74100.01,Entreprises de messageries,Trieurs/trieuses de courrier
74100.01,Établissements des secteurs privé et public,Trieurs/trieuses de courrier
74100.01,Services de messageries et d'expédition de colis,Trieurs/trieuses de courrier
74100.02,Société canadienne des postes,Commis à la salle du courrier
74100.02,Entreprises de messageries,Commis à la salle du courrier
74100.02,Établissements des secteurs privé et public,Commis à la salle du courrier
74100.02,Services de messageries et d'expédition de colis,Commis à la salle du courrier
74101.00,Société canadienne des postes,Facteurs/factrices
74102.00,Entreprises de messageries,Messagers/messagères
74102.00,Établissements des secteurs privé et public,Messagers/messagères
74200.01,Compagnies de transport ferroviaire,Ouvriers/ouvrières de gare de triage du transport ferroviaire
74200.02,Compagnies de transport ferroviaire,Ouvriers/ouvrières à l'entretien de la voie ferrée
74201.01,Services gouvernementaux fédéraux,Matelots de salle des machines du transport par voies navigables
74201.01,Compagnies de transport maritime,Matelots de salle des machines du transport par voies navigables
74201.02,Services gouvernementaux fédéraux,Matelots de pont du transport par voies navigables
74201.02,Compagnies de transport maritime,Matelots de pont du transport par voies navigables
74202.00,Compagnies de services aéroportuaires,Agents/agentes de piste dans le transport aérien
74202.00,Gouvernement fédéral,Agents/agentes de piste dans le transport aérien
74203.00,Ateliers d'entretien et de réparation de voitures et de camions,Préposés/préposées à la pose et à l'entretien des pièces mécaniques d'automobiles et de camions et équipements lourds
74203.00,"Compagnies minières, forestières et construction",Préposés/préposées à la pose et à l'entretien des pièces mécaniques d'automobiles et de camions et équipements lourds
74203.00,Départements de service d'établissements industriels,Préposés/préposées à la pose et à l'entretien des pièces mécaniques d'automobiles et de camions et équipements lourds
74204.01,Usines de traitement des eaux usées,Personnel d'entretien des canalisations d'eau
74204.01,Usines de filtration et de distribution d'eau,Personnel d'entretien des canalisations d'eau
74204.02,Établissements de distribution de gaz,Personnel d'entretien des canalisations de gaz
74205.00,"Services municipaux, provinciaux et territoriaux, et fédéraux d'entretien public",Conducteurs/conductrices de machinerie d'entretien public et personnel assimilé
74205.00,Entrepreneurs privés engagés par des services d'entretien public du gouvernement,Conducteurs/conductrices de machinerie d'entretien public et personnel assimilé
75100.00,Entreprises maritimes de transport de marchandises,Débardeurs/débardeuses
75100.00,Agences d’expédition,Débardeurs/débardeuses
75101.01,Usines de fabrication et de traitement,Manutentionnaires qui travaillent manuellement
75101.01,Entrepôts de commerce détail et de gros,Manutentionnaires qui travaillent manuellement
75101.01,"Entreprises de transport, d'entreposage et des compagnies de déménagement",Manutentionnaires qui travaillent manuellement
75101.02,Usines de fabrication et de traitement,Manutentionnaires qui utilisent des appareils de manutention
75101.02,Entrepôts de commerce détail et de gros,Manutentionnaires qui utilisent des appareils de manutention
75101.02,"Entreprises de transport, d'entreposage et des compagnies de déménagement",Manutentionnaires qui utilisent des appareils de manutention
75110.00,Compagnies de construction,Aides de soutien des métiers et manoeuvres en construction
75110.00,Exploitants de carrières ou de mines à ciel ouvert,Aides de soutien des métiers et manoeuvres en construction
75110.00,Entrepreneurs en construction,Aides de soutien des métiers et manoeuvres en construction
75119.00,"Entreprises manufacturières, de services d'utilité publique et d'entretien",Autres manoeuvres et aides de soutien de métiers
75200.01,Travailleurs autonomes,Chauffeurs/chauffeuses de taxi et de limousine
75200.01,Entreprises de taxis et de transport,Chauffeurs/chauffeuses de taxi et de limousine
75200.02,Entreprises,Chauffeurs/chauffeuses
75200.02,Gouvernements,Chauffeurs/chauffeuses
75200.02,Organismes,Chauffeurs/chauffeuses
75200.02,Particuliers,Chauffeurs/chauffeuses
75201.00,Entreprises et autres établissements,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte
75201.00,Services de messageries,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte
75201.00,Laiteries,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte
75201.00,Pharmacies,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte
75201.00,Entreprises de nettoyage à sec,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte
75201.00,Cantines roulantes,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte
75201.00,Distributeurs de journaux,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte
75201.00,Travailleurs autonomes,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte
75201.00,Établissements de restauration rapide,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte
75210.01,Entreprises exploitant des bacs à câble,Personnel des écluses
75210.01,Autorités portuaires et de canaux,Personnel des écluses
75210.01,Gouvernement fédéral,Personnel des écluses
75210.01,Débarcadères de traversiers,Personnel des écluses
75210.02,Entreprises exploitant des bacs à câble,Conducteurs/conductrices de bacs à câble
75210.02,Gouvernement fédéral,Conducteurs/conductrices de bacs à câble
75210.02,Débarcadères de traversiers,Conducteurs/conductrices de bacs à câble
75210.03,Entreprises exploitant des bacs à câble,Ouvriers/ouvrières au débarcadère de traversiers
75210.03,Gouvernement fédéral,Ouvriers/ouvrières au débarcadère de traversiers
75210.03,Débarcadères de traversiers,Ouvriers/ouvrières au débarcadère de traversiers
75210.04,Autorités portuaires et de canaux,Opérateurs de bateaux
75210.04,Compagnies navales qui offrent des visites touristiques et de service de taxis nautiques,Opérateurs de bateaux
75210.04,Travailleurs autonomes,Opérateurs de bateaux
75211.01,Compagnies de transport ferroviaire,Manoeuvres dans le transport ferroviaire
75211.02,Compagnies de transport routier,Manoeuvres dans le transport routier
75212.00,Entrepreneurs à contrat avec le gouvernement,Manoeuvres à l'entretien des travaux publics
75212.00,Services de travaux publics des administrations municipales et des gouvernements provinciaux et fédéral,Manoeuvres à l'entretien des travaux publics
80010.00,Entreprises de pêche commerciale,Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche
80010.00,Entreprises de foresterie et d'abattage des arbres,Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche
80010.00,Entreprises d'exploitation de mines et de carrières,Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche
80010.00,Entreprises de forage pétrolier et gazier,Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche
80010.00,Entreprises de production et de services,Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche
80020.00,Exploitation agricole,Gestionnaires en agriculture
80020.00,Travailleurs autonomes,Gestionnaires en agriculture
80021.00,Serres,Gestionnaires en horticulture
80021.00,Pépinières,Gestionnaires en horticulture
80022.00,Entreprises aquacoles commerciales,Gestionnaires en aquaculture
80022.00,Alevinières privées ou publiques,Gestionnaires en aquaculture
80022.00,Travailleurs autonomes,Gestionnaires en aquaculture
82010.00,Agences gouvernementales,Surveillants/surveillantes de l'exploitation forestière
82010.00,Entreprises en exploitation forestière,Surveillants/surveillantes de l'exploitation forestière
82010.00,Entrepreneurs en exploitation forestière,Surveillants/surveillantes de l'exploitation forestière
