Code de profil professionnel SIPeC,Lieux de travail/employeurs,Nom du profil professionnel SIPeC
14301.02,Journaux,Correspondanciers/correspondancières
14301.02,Périodiques,Correspondanciers/correspondancières
14301.02,Maisons d'édition,Correspondanciers/correspondancières
14301.03,Établissements des secteurs privé et public,Correcteurs/correctrices d'épreuves et les adjoints/adjointes à la rédaction
14301.03,Journaux,Correcteurs/correctrices d'épreuves et les adjoints/adjointes à la rédaction
14301.03,Périodiques,Correcteurs/correctrices d'épreuves et les adjoints/adjointes à la rédaction
14301.03,Maisons d'édition,Correcteurs/correctrices d'épreuves et les adjoints/adjointes à la rédaction
14301.04,Établissements des secteurs privé et public,Lecteurs/lectrices de manuscrits et préposés/préposées aux coupures de journaux
14301.04,Journaux,Lecteurs/lectrices de manuscrits et préposés/préposées aux coupures de journaux
14301.04,Périodiques,Lecteurs/lectrices de manuscrits et préposés/préposées aux coupures de journaux
14301.04,Maisons d'édition,Lecteurs/lectrices de manuscrits et préposés/préposées aux coupures de journaux
14301.05,Établissements des secteurs privé et public,Commis aux règlements
14301.05,Journaux,Commis aux règlements
14301.05,Périodiques,Commis aux règlements
14301.05,Maisons d'édition,Commis aux règlements
14400.00,Établissements de ventes commerciales et industrielles,Expéditeurs/expéditrices et réceptionnaires
14400.00,Entreprises manufacturières,Expéditeurs/expéditrices et réceptionnaires
14400.00,Secteur public,Expéditeurs/expéditrices et réceptionnaires
14400.00,Établissements de vente au détail,Expéditeurs/expéditrices et réceptionnaires
14400.00,Établissements de commerce en gros,Expéditeurs/expéditrices et réceptionnaires
14401.00,Compagnies de construction,Magasiniers/magasinières et commis aux pièces
14401.00,Établissements des secteurs privé et public,Magasiniers/magasinières et commis aux pièces
14401.00,Entreprises forestières,Magasiniers/magasinières et commis aux pièces
14401.00,Centres hospitaliers,Magasiniers/magasinières et commis aux pièces
14401.00,Entreprises de fabrication,Magasiniers/magasinières et commis aux pièces
14401.00,Compagnies minières,Magasiniers/magasinières et commis aux pièces
14401.00,Services de réparation,Magasiniers/magasinières et commis aux pièces
